participant_id,video_no,conflict,action,pre_score,post_score,diff_score
1,1,葛藤あり,行動あり,2.5,2.2,-0.2999999999999998
2,1,葛藤あり,行動あり,3.1,3.1,0.0
3,1,葛藤あり,行動あり,2.0,2.6,0.6000000000000001
4,1,葛藤あり,行動あり,3.2,3.2,0.0
5,1,葛藤あり,行動あり,3.1,3.7,0.6000000000000001
6,1,葛藤あり,行動あり,3.2,3.3,0.09999999999999964
7,1,葛藤あり,行動あり,2.5,2.8,0.2999999999999998
8,1,葛藤あり,行動あり,3.2,3.2,0.0
9,1,葛藤あり,行動あり,3.3,3.7,0.40000000000000036
10,1,葛藤あり,行動あり,3.0,3.1,0.10000000000000009
11,1,葛藤あり,行動あり,4.4,4.3,-0.10000000000000053
12,1,葛藤あり,行動あり,2.6,2.7,0.10000000000000009
13,1,葛藤あり,行動あり,2.0,2.4,0.3999999999999999
14,1,葛藤あり,行動あり,3.1,3.1,0.0
15,1,葛藤あり,行動あり,3.0,2.9,-0.10000000000000009
16,1,葛藤あり,行動あり,4.1,4.0,-0.09999999999999964
17,1,葛藤あり,行動あり,3.2,3.1,-0.10000000000000009
18,1,葛藤あり,行動あり,2.6,3.4,0.7999999999999998
19,1,葛藤あり,行動あり,2.2,2.4,0.19999999999999973
20,1,葛藤あり,行動あり,3.7,2.7,-1.0
21,1,葛藤あり,行動あり,3.0,3.1,0.10000000000000009
22,1,葛藤あり,行動あり,4.0,3.9,-0.10000000000000009
23,1,葛藤あり,行動あり,3.7,3.7,0.0
24,1,葛藤あり,行動あり,3.2,3.1,-0.10000000000000009
25,1,葛藤あり,行動あり,3.3,3.9,0.6000000000000001
26,1,葛藤あり,行動あり,2.7,3.0,0.2999999999999998
27,1,葛藤あり,行動あり,2.1,2.5,0.3999999999999999
28,1,葛藤あり,行動あり,4.2,4.5,0.2999999999999998
29,1,葛藤あり,行動あり,4.7,4.8,0.09999999999999964
30,1,葛藤あり,行動あり,3.4,3.1,-0.2999999999999998
31,1,葛藤あり,行動あり,3.0,3.0,0.0
32,1,葛藤あり,行動あり,2.8,2.8,0.0
33,1,葛藤あり,行動あり,3.3,3.1,-0.19999999999999973
34,1,葛藤あり,行動あり,3.3,3.7,0.40000000000000036
35,1,葛藤あり,行動あり,3.4,3.4,0.0
36,1,葛藤あり,行動あり,2.5,2.7,0.20000000000000018
37,1,葛藤あり,行動あり,3.4,3.2,-0.19999999999999973
38,1,葛藤あり,行動あり,3.1,3.6,0.5
39,1,葛藤あり,行動あり,2.0,2.6,0.6000000000000001
40,1,葛藤あり,行動あり,2.6,3.0,0.3999999999999999
41,1,葛藤あり,行動あり,2.9,3.5,0.6000000000000001
42,1,葛藤あり,行動あり,3.4,3.9,0.5
43,1,葛藤あり,行動あり,2.3,2.5,0.20000000000000018
44,1,葛藤あり,行動あり,2.4,2.3,-0.10000000000000009
45,1,葛藤あり,行動あり,3.4,3.4,0.0
46,1,葛藤あり,行動あり,3.0,2.9,-0.10000000000000009
47,1,葛藤あり,行動あり,3.1,3.7,0.6000000000000001
48,1,葛藤あり,行動あり,3.0,3.3,0.2999999999999998
49,1,葛藤あり,行動あり,3.2,2.8,-0.40000000000000036
50,1,葛藤あり,行動あり,2.9,3.0,0.10000000000000009
51,1,葛藤あり,行動あり,3.0,3.0,0.0
52,1,葛藤あり,行動あり,3.8,4.0,0.20000000000000018
53,1,葛藤あり,行動あり,3.0,3.0,0.0
54,1,葛藤あり,行動あり,1.7,2.2,0.5000000000000002
55,1,葛藤あり,行動あり,3.1,3.0,-0.10000000000000009
56,1,葛藤あり,行動あり,2.3,2.5,0.20000000000000018
57,1,葛藤あり,行動あり,2.3,2.3,0.0
58,1,葛藤あり,行動あり,1.8,1.9,0.09999999999999987
59,1,葛藤あり,行動あり,2.6,3.2,0.6000000000000001
60,1,葛藤あり,行動あり,3.6,3.7,0.10000000000000009
61,1,葛藤あり,行動あり,3.2,3.2,0.0
62,1,葛藤あり,行動あり,2.6,2.6,0.0
63,1,葛藤あり,行動あり,4.0,4.1,0.09999999999999964
64,1,葛藤あり,行動あり,3.6,3.5,-0.10000000000000009
65,1,葛藤あり,行動あり,3.1,3.0,-0.10000000000000009
66,1,葛藤あり,行動あり,3.2,2.8,-0.40000000000000036
67,1,葛藤あり,行動あり,3.0,2.9,-0.10000000000000009
68,1,葛藤あり,行動あり,3.9,3.7,-0.19999999999999973
69,1,葛藤あり,行動あり,3.8,4.8,1.0
70,1,葛藤あり,行動あり,3.2,3.1,-0.10000000000000009
71,1,葛藤あり,行動あり,3.8,4.1,0.2999999999999998
72,1,葛藤あり,行動あり,2.6,1.8,-0.8
73,1,葛藤あり,行動あり,2.9,2.7,-0.19999999999999973
74,1,葛藤あり,行動あり,3.4,3.9,0.5
75,1,葛藤あり,行動あり,3.1,2.8,-0.30000000000000027
76,1,葛藤あり,行動あり,2.6,2.7,0.10000000000000009
77,1,葛藤あり,行動あり,2.8,2.0,-0.7999999999999998
78,1,葛藤あり,行動あり,3.5,3.6,0.10000000000000009
79,1,葛藤あり,行動あり,3.7,4.6,0.8999999999999995
80,1,葛藤あり,行動あり,3.3,3.1,-0.19999999999999973
81,1,葛藤あり,行動あり,3.3,3.2,-0.09999999999999964
82,1,葛藤あり,行動あり,4.0,4.3,0.2999999999999998
83,1,葛藤あり,行動あり,2.3,2.3,0.0
84,1,葛藤あり,行動あり,2.3,2.1,-0.19999999999999973
85,1,葛藤あり,行動あり,2.0,1.4,-0.6000000000000001
86,1,葛藤あり,行動あり,3.2,3.0,-0.20000000000000018
87,1,葛藤あり,行動あり,3.0,2.8,-0.20000000000000018
88,1,葛藤あり,行動あり,2.2,2.4,0.19999999999999973
89,1,葛藤あり,行動あり,3.6,2.7,-0.8999999999999999
90,1,葛藤あり,行動あり,4.0,3.8,-0.20000000000000018
91,1,葛藤あり,行動あり,3.1,2.9,-0.20000000000000018
92,1,葛藤あり,行動あり,3.5,3.8,0.2999999999999998
93,1,葛藤あり,行動あり,3.1,3.0,-0.10000000000000009
94,1,葛藤あり,行動あり,2.1,2.0,-0.10000000000000009
95,1,葛藤あり,行動あり,2.3,2.3,0.0
96,1,葛藤あり,行動あり,2.8,3.1,0.30000000000000027
97,1,葛藤あり,行動あり,3.8,3.9,0.10000000000000009
98,1,葛藤あり,行動あり,3.3,3.5,0.20000000000000018
99,1,葛藤あり,行動あり,2.4,2.9,0.5
