participant_id,target_name,item_no,item_text,video_no,conflict,action,score
1,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
2,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
3,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
4,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
5,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
6,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
7,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
8,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
9,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
10,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
11,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
12,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
13,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
14,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
15,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
16,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
17,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
18,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
19,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
20,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
21,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
22,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
23,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
24,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
25,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,6
26,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
27,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
28,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,1
29,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
30,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
31,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
32,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
33,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
34,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,6
35,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
36,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
37,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
38,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
39,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,1
40,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
41,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
42,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
43,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
44,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
45,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
46,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
47,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
48,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
49,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
50,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
51,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
52,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
53,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
54,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
55,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,5
56,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
57,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
58,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,3
59,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
60,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,6
61,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,4
62,項目1_このロボットを見て、自分も挑戦しようと思った。,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,行動あり,2
