target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,103,葛藤なし,行動あり,4.349514563106796
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,103,葛藤なし,行動なし,3.029126213592233
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,103,葛藤あり,行動あり,4.038834951456311
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,103,葛藤あり,行動なし,3.3009708737864076
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,103,葛藤なし,行動あり,4.252427184466019
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,103,葛藤なし,行動なし,3.087378640776699
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,103,葛藤あり,行動あり,3.9320388349514563
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,103,葛藤あり,行動なし,3.1067961165048543
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,103,葛藤なし,行動あり,4.368932038834951
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,103,葛藤なし,行動なし,2.941747572815534
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,103,葛藤あり,行動あり,4.262135922330097
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,103,葛藤あり,行動なし,3.145631067961165
scale,CZO尺度,,,diff,103,葛藤なし,行動あり,0.06213592233009709
scale,CZO尺度,,,diff,103,葛藤なし,行動なし,0.006796116504854356
scale,CZO尺度,,,diff,103,葛藤あり,行動あり,0.0621359223300971
scale,CZO尺度,,,diff,103,葛藤あり,行動なし,0.015533980582524245
scale,CZO尺度,,,post,103,葛藤なし,行動あり,3.2805825242718445
scale,CZO尺度,,,post,103,葛藤なし,行動なし,3.225242718446602
scale,CZO尺度,,,post,103,葛藤あり,行動あり,3.2805825242718445
scale,CZO尺度,,,post,103,葛藤あり,行動なし,3.2339805825242722
scale,勇気尺度,,,diff,103,葛藤なし,行動あり,0.19417475728155337
scale,勇気尺度,,,diff,103,葛藤なし,行動なし,0.07281553398058252
scale,勇気尺度,,,diff,103,葛藤あり,行動あり,0.11650485436893204
scale,勇気尺度,,,diff,103,葛藤あり,行動なし,0.12135922330097088
scale,勇気尺度,,,post,103,葛藤なし,行動あり,4.176375404530744
scale,勇気尺度,,,post,103,葛藤なし,行動なし,4.055016181229774
scale,勇気尺度,,,post,103,葛藤あり,行動あり,4.098705501618123
scale,勇気尺度,,,post,103,葛藤あり,行動なし,4.103559870550162
scale,葛藤尺度,,,post,103,葛藤なし,行動あり,4.089805825242719
scale,葛藤尺度,,,post,103,葛藤なし,行動なし,4.359223300970874
scale,葛藤尺度,,,post,103,葛藤あり,行動あり,5.019417475728155
scale,葛藤尺度,,,post,103,葛藤あり,行動なし,5.145631067961165
