target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,conflict,0.02149740548554819,1.0,29.0,0.8844465386092617,0.0007407407407408558
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,action,8.979370049732916,1.0,29.0,0.005546592216552331,0.23642756680731367
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,conflict:action,0.016968987712129478,1.0,29.0,0.8972561228064324,0.0005847953216380169
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,conflict,0.013621418506343142,1.0,29.0,0.9078937280775817,0.00046948356807519103
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,action,16.924128804587546,1.0,29.0,0.00029339554380793613,0.36852367688022264
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,conflict:action,0.1482112436115794,1.0,29.0,0.7030597913834635,0.005084745762711696
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,conflict,0.2412645590682142,1.0,29.0,0.6269911360398857,0.008250825082508066
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,action,26.4384858044164,1.0,29.0,1.7101144188862782e-05,0.47689768976897684
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,conflict:action,0.7365945437441289,1.0,29.0,0.39779216557919117,0.02477064220183514
scale,CZO尺度,,,diff,30,conflict,1.616343031347333,1.0,29.0,0.2137051947569965,0.05279347143753904
scale,CZO尺度,,,diff,30,action,0.4154727793696187,1.0,29.0,0.5242710981870193,0.014124293785310438
scale,CZO尺度,,,diff,30,conflict:action,0.6891702984951803,1.0,29.0,0.4132289395659561,0.023212851405622185
scale,CZO尺度,,,post,30,conflict,1.6163430313473375,1.0,29.0,0.2137051947569959,0.05279347143753918
scale,CZO尺度,,,post,30,action,0.41547277936963356,1.0,29.0,0.5242710981870129,0.014124293785310937
scale,CZO尺度,,,post,30,conflict:action,0.6891702984951934,1.0,29.0,0.41322893956595264,0.02321285140562262
scale,勇気尺度,,,diff,30,conflict,2.386626660951564,1.0,29.0,0.13322131411218105,0.07603960396039602
scale,勇気尺度,,,diff,30,action,2.2615912462908003,1.0,29.0,0.14343135669178972,0.07234408602150535
scale,勇気尺度,,,diff,30,conflict:action,1.3279908414424721,1.0,29.0,0.25857427303984754,0.043787629994526525
scale,勇気尺度,,,post,30,conflict,2.3866266609515714,1.0,29.0,0.13322131411218044,0.07603960396039625
scale,勇気尺度,,,post,30,action,2.261591246290796,1.0,29.0,0.14343135669179,0.07234408602150522
scale,勇気尺度,,,post,30,conflict:action,1.3279908414424721,1.0,29.0,0.25857427303984754,0.043787629994526525
scale,葛藤尺度,,,post,30,conflict,17.246696035242294,1.0,29.0,0.00026373045533825603,0.37292817679558016
scale,葛藤尺度,,,post,30,action,0.23951588917614156,1.0,29.0,0.6282374850646286,0.008191513501247992
scale,葛藤尺度,,,post,30,conflict:action,0.062049692153189444,1.0,29.0,0.8050409923174535,0.0021350762527235986
