target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,葛藤なし,行動あり,2.9
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,葛藤なし,行動なし,2.2
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,葛藤あり,行動あり,2.8666666666666667
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,30,葛藤あり,行動なし,2.2
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,葛藤なし,行動あり,3.2333333333333334
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,葛藤なし,行動なし,2.2333333333333334
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,葛藤あり,行動あり,3.3
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,30,葛藤あり,行動なし,2.2
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,葛藤なし,行動あり,3.7
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,葛藤なし,行動なし,2.1333333333333333
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,葛藤あり,行動あり,3.466666666666667
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,30,葛藤あり,行動なし,2.2
scale,CZO尺度,,,diff,30,葛藤なし,行動あり,0.2
scale,CZO尺度,,,diff,30,葛藤なし,行動なし,0.1466666666666667
scale,CZO尺度,,,diff,30,葛藤あり,行動あり,0.12333333333333335
scale,CZO尺度,,,diff,30,葛藤あり,行動なし,0.12666666666666668
scale,CZO尺度,,,post,30,葛藤なし,行動あり,2.4099999999999997
scale,CZO尺度,,,post,30,葛藤なし,行動なし,2.356666666666667
scale,CZO尺度,,,post,30,葛藤あり,行動あり,2.3333333333333335
scale,CZO尺度,,,post,30,葛藤あり,行動なし,2.3366666666666664
scale,勇気尺度,,,diff,30,葛藤なし,行動あり,0.05000000000000004
scale,勇気尺度,,,diff,30,葛藤なし,行動なし,-0.2222222222222222
scale,勇気尺度,,,diff,30,葛藤あり,行動あり,0.07222222222222226
scale,勇気尺度,,,diff,30,葛藤あり,行動なし,0.02222222222222226
scale,勇気尺度,,,post,30,葛藤なし,行動あり,2.8277777777777775
scale,勇気尺度,,,post,30,葛藤なし,行動なし,2.555555555555556
scale,勇気尺度,,,post,30,葛藤あり,行動あり,2.85
scale,勇気尺度,,,post,30,葛藤あり,行動なし,2.8
scale,葛藤尺度,,,post,30,葛藤なし,行動あり,4.0
scale,葛藤尺度,,,post,30,葛藤なし,行動なし,4.108333333333333
scale,葛藤尺度,,,post,30,葛藤あり,行動あり,5.341666666666667
scale,葛藤尺度,,,post,30,葛藤あり,行動なし,5.391666666666667
