participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
1,1,葛藤あり,行動あり,3.1666666666666665,post,scale,勇気尺度,,
3,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
7,1,葛藤あり,行動あり,4.166666666666667,post,scale,勇気尺度,,
13,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
19,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
27,1,葛藤あり,行動あり,1.8333333333333333,post,scale,勇気尺度,,
36,1,葛藤あり,行動あり,2.5,post,scale,勇気尺度,,
39,1,葛藤あり,行動あり,1.6666666666666667,post,scale,勇気尺度,,
43,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
44,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
54,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
56,1,葛藤あり,行動あり,2.8333333333333335,post,scale,勇気尺度,,
57,1,葛藤あり,行動あり,3.6666666666666665,post,scale,勇気尺度,,
58,1,葛藤あり,行動あり,1.8333333333333333,post,scale,勇気尺度,,
83,1,葛藤あり,行動あり,1.8333333333333333,post,scale,勇気尺度,,
84,1,葛藤あり,行動あり,2.1666666666666665,post,scale,勇気尺度,,
85,1,葛藤あり,行動あり,1.1666666666666667,post,scale,勇気尺度,,
88,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
94,1,葛藤あり,行動あり,2.0,post,scale,勇気尺度,,
95,1,葛藤あり,行動あり,2.5,post,scale,勇気尺度,,
99,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
101,1,葛藤あり,行動あり,2.3333333333333335,post,scale,勇気尺度,,
103,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
107,1,葛藤あり,行動あり,2.3333333333333335,post,scale,勇気尺度,,
108,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
109,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
114,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
116,1,葛藤あり,行動あり,2.5,post,scale,勇気尺度,,
118,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
122,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
1,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
3,1,葛藤あり,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
7,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
13,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
19,1,葛藤あり,行動あり,0.16666666666666652,diff,scale,勇気尺度,,
27,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
36,1,葛藤あり,行動あり,-0.16666666666666652,diff,scale,勇気尺度,,
39,1,葛藤あり,行動あり,0.16666666666666674,diff,scale,勇気尺度,,
43,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
44,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
54,1,葛藤あり,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
56,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
57,1,葛藤あり,行動あり,1.1666666666666665,diff,scale,勇気尺度,,
58,1,葛藤あり,行動あり,-0.16666666666666674,diff,scale,勇気尺度,,
83,1,葛藤あり,行動あり,-0.16666666666666674,diff,scale,勇気尺度,,
84,1,葛藤あり,行動あり,0.33333333333333326,diff,scale,勇気尺度,,
85,1,葛藤あり,行動あり,-1.3333333333333333,diff,scale,勇気尺度,,
88,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
94,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
95,1,葛藤あり,行動あり,-1.0,diff,scale,勇気尺度,,
99,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
101,1,葛藤あり,行動あり,0.8333333333333335,diff,scale,勇気尺度,,
103,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
107,1,葛藤あり,行動あり,-0.33333333333333304,diff,scale,勇気尺度,,
108,1,葛藤あり,行動あり,1.3333333333333335,diff,scale,勇気尺度,,
109,1,葛藤あり,行動あり,-0.16666666666666652,diff,scale,勇気尺度,,
114,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
116,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
118,1,葛藤あり,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
122,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
1,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
3,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
7,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
13,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
19,2,葛藤あり,行動なし,1.8333333333333333,post,scale,勇気尺度,,
27,2,葛藤あり,行動なし,1.5,post,scale,勇気尺度,,
36,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
39,2,葛藤あり,行動なし,1.8333333333333333,post,scale,勇気尺度,,
43,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
44,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
54,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
56,2,葛藤あり,行動なし,2.0,post,scale,勇気尺度,,
57,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
58,2,葛藤あり,行動なし,1.5,post,scale,勇気尺度,,
83,2,葛藤あり,行動なし,1.8333333333333333,post,scale,勇気尺度,,
84,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
85,2,葛藤あり,行動なし,1.5,post,scale,勇気尺度,,
88,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
94,2,葛藤あり,行動なし,2.0,post,scale,勇気尺度,,
95,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
99,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
101,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
103,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
107,2,葛藤あり,行動なし,2.0,post,scale,勇気尺度,,
108,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
109,2,葛藤あり,行動なし,3.5,post,scale,勇気尺度,,
114,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
116,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
118,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
122,2,葛藤あり,行動なし,3.1666666666666665,post,scale,勇気尺度,,
1,2,葛藤あり,行動なし,1.0,diff,scale,勇気尺度,,
3,2,葛藤あり,行動なし,-0.49999999999999956,diff,scale,勇気尺度,,
7,2,葛藤あり,行動なし,-0.33333333333333304,diff,scale,勇気尺度,,
13,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
19,2,葛藤あり,行動なし,-1.0000000000000002,diff,scale,勇気尺度,,
