target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,conflict,0.520598268171089,1.0,62.0,0.4732988829107332,0.00832682799895923
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,action,11.621998450813324,1.0,62.0,0.0011507073994550681,0.15786040443574692
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,conflict:action,0.3123425692695281,1.0,62.0,0.5782593385610498,0.005012531328320908
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,conflict,0.005624092888222415,1.0,62.0,0.9404609761674588,9.070294784545962e-05
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,action,14.089062044858727,1.0,62.0,0.0003866713022357739,0.18516540572615342
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,conflict:action,0.26463414634145155,1.0,62.0,0.6087830945885682,0.004250151791135208
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,conflict,1.5182705184617864,1.0,62.0,0.2225339301026542,0.023902894491129072
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,action,25.518415607449032,1.0,62.0,4.1255562554856906e-06,0.2915776688863762
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,conflict:action,0.37219354064112875,1.0,62.0,0.5440407183661562,0.005967299200381833
scale,CZO尺度,,,diff,63,conflict,3.28154205607479,1.0,62.0,0.07490722734187694,0.05026753279289955
scale,CZO尺度,,,diff,63,action,0.026900381811864747,1.0,62.0,0.8702541394544735,0.0004336889582790234
scale,CZO尺度,,,diff,63,conflict:action,0.13829081256450912,1.0,62.0,0.7112541050056881,0.0022255329323693984
scale,CZO尺度,,,post,63,conflict,3.2815420560747626,1.0,62.0,0.07490722734187792,0.050267532792899146
scale,CZO尺度,,,post,63,action,0.026900381811864767,1.0,62.0,0.8702541394544735,0.00043368895827902373
scale,CZO尺度,,,post,63,conflict:action,0.13829081256449632,1.0,62.0,0.711254105005695,0.0022255329323691924
scale,勇気尺度,,,diff,63,conflict,1.9296384663313213,1.0,62.0,0.1697673893565366,0.030183785058436854
scale,勇気尺度,,,diff,63,action,0.34017337868977976,1.0,62.0,0.5618448061612624,0.005456728145803711
scale,勇気尺度,,,diff,63,conflict:action,1.074109720885436,1.0,62.0,0.3040443661707843,0.017029328287605953
scale,勇気尺度,,,post,63,conflict,1.9296384663313357,1.0,62.0,0.16976738935653388,0.030183785058437076
scale,勇気尺度,,,post,63,action,0.3401733786898279,1.0,62.0,0.5618448061612344,0.005456728145804479
scale,勇気尺度,,,post,63,conflict:action,1.07410972088546,1.0,62.0,0.3040443661707816,0.017029328287606327
scale,葛藤尺度,,,post,63,conflict,14.719590354649931,1.0,62.0,0.0002947888309299834,0.19186221259271602
scale,葛藤尺度,,,post,63,action,0.8853455453788442,1.0,62.0,0.3503934821409208,0.01407872593687138
scale,葛藤尺度,,,post,63,conflict:action,0.34534079566521764,1.0,62.0,0.558896841795431,0.005539159643012629
