target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤あり,行動あり,3.2857142857142856
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤あり,行動なし,2.8095238095238093
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤なし,行動あり,3.2698412698412698
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤なし,行動なし,2.6984126984126986
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤あり,行動あり,3.3492063492063493
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤あり,行動なし,2.7777777777777777
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤なし,行動あり,3.4126984126984126
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤なし,行動なし,2.7301587301587302
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤あり,行動あり,3.6666666666666665
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤あり,行動なし,2.8095238095238093
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤なし,行動あり,3.619047619047619
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤なし,行動なし,2.6031746031746033
scale,CZO尺度,,,diff,63,葛藤あり,行動あり,0.0904761904761905
scale,CZO尺度,,,diff,63,葛藤あり,行動なし,0.09523809523809525
scale,CZO尺度,,,diff,63,葛藤なし,行動あり,0.14126984126984127
scale,CZO尺度,,,diff,63,葛藤なし,行動なし,0.1285714285714286
scale,CZO尺度,,,post,63,葛藤あり,行動あり,2.638095238095238
scale,CZO尺度,,,post,63,葛藤あり,行動なし,2.642857142857143
scale,CZO尺度,,,post,63,葛藤なし,行動あり,2.688888888888889
scale,CZO尺度,,,post,63,葛藤なし,行動なし,2.676190476190476
scale,勇気尺度,,,diff,63,葛藤あり,行動あり,0.0608465608465609
scale,勇気尺度,,,diff,63,葛藤あり,行動なし,0.09259259259259262
scale,勇気尺度,,,diff,63,葛藤なし,行動あり,0.04761904761904763
scale,勇気尺度,,,diff,63,葛藤なし,行動なし,-0.06349206349206347
scale,勇気尺度,,,post,63,葛藤あり,行動あり,3.177248677248677
scale,勇気尺度,,,post,63,葛藤あり,行動なし,3.208994708994709
scale,勇気尺度,,,post,63,葛藤なし,行動あり,3.164021164021164
scale,勇気尺度,,,post,63,葛藤なし,行動なし,3.052910052910053
scale,葛藤尺度,,,post,63,葛藤あり,行動あり,4.928571428571429
scale,葛藤尺度,,,post,63,葛藤あり,行動なし,4.976190476190476
scale,葛藤尺度,,,post,63,葛藤なし,行動あり,4.150793650793651
scale,葛藤尺度,,,post,63,葛藤なし,行動なし,4.2976190476190474
