target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,conflict,0.6956521739130408,1.0,62.0,0.4074505369534541,0.011095700416088724
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,action,57.41532705909863,1.0,62.0,2.1440679934602695e-10,0.48080366627211757
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,conflict:action,15.28418584200497,1.0,62.0,0.00023175984492432346,0.19776601998824206
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,conflict,4.264099037138916,1.0,62.0,0.04311410098549743,0.06435006435006418
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,action,43.21757148777458,1.0,62.0,1.1677665451406601e-08,0.4107448107448109
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,conflict:action,5.158069883527441,1.0,62.0,0.02662164351297845,0.07680491551459274
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,conflict,0.5541899441340757,1.0,62.0,0.45942312075247493,0.00885935769656696
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,action,68.19362733101656,1.0,62.0,1.4135325975254098e-11,0.5237862154161712
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,conflict:action,5.936786983355153,1.0,62.0,0.0177131773598428,0.08738692609660353
scale,CZO尺度,,,diff,63,conflict,0.6334610472541582,1.0,62.0,0.4291254661554317,0.010113780025284569
scale,CZO尺度,,,diff,63,action,6.288703050788191,1.0,62.0,0.014783410833426054,0.09208994708994707
scale,CZO尺度,,,diff,63,conflict:action,0.019022781314690297,1.0,62.0,0.8907481588385249,0.00030672494440563076
scale,CZO尺度,,,post,63,conflict,0.6334610472541575,1.0,62.0,0.4291254661554317,0.010113780025284558
scale,CZO尺度,,,post,63,action,6.288703050788192,1.0,62.0,0.014783410833426054,0.09208994708994708
scale,CZO尺度,,,post,63,conflict:action,0.019022781314703606,1.0,62.0,0.8907481588384856,0.00030672494440584533
scale,勇気尺度,,,diff,63,conflict,0.5772580967794821,1.0,62.0,0.45026845721687614,0.009224726591355568
scale,勇気尺度,,,diff,63,action,2.516131650501195,1.0,62.0,0.11777427452925529,0.03900003900003896
scale,勇気尺度,,,diff,63,conflict:action,1.6314836801027652,1.0,62.0,0.2062605228591517,0.025639566858204843
scale,勇気尺度,,,post,63,conflict,0.5772580967794909,1.0,62.0,0.4502684572168735,0.009224726591355707
scale,勇気尺度,,,post,63,action,2.516131650501207,1.0,62.0,0.11777427452925364,0.03900003900003914
scale,勇気尺度,,,post,63,conflict:action,1.6314836801028048,1.0,62.0,0.2062605228591464,0.02563956685820545
scale,葛藤尺度,,,post,63,conflict,43.14937682606608,1.0,62.0,1.1919908076292177e-08,0.410362649104826
scale,葛藤尺度,,,post,63,action,6.701977119796326,1.0,62.0,0.011984042640483871,0.09755144467109035
scale,葛藤尺度,,,post,63,conflict:action,1.381373107440417,1.0,62.0,0.24436126965419355,0.021794622610949017
