target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤あり,行動あり,4.317460317460317
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤あり,行動なし,3.365079365079365
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤なし,行動あり,4.873015873015873
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,63,葛藤なし,行動なし,3.0
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤あり,行動あり,4.238095238095238
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤あり,行動なし,3.0952380952380953
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤なし,行動あり,4.714285714285714
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,63,葛藤なし,行動なし,3.0952380952380953
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤あり,行動あり,4.5396825396825395
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤あり,行動なし,3.111111111111111
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤なし,行動あり,4.888888888888889
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,63,葛藤なし,行動なし,2.9523809523809526
scale,CZO尺度,,,diff,63,葛藤あり,行動あり,0.06190476190476189
scale,CZO尺度,,,diff,63,葛藤あり,行動なし,-0.028571428571428612
scale,CZO尺度,,,diff,63,葛藤なし,行動あり,0.04603174603174602
scale,CZO尺度,,,diff,63,葛藤なし,行動なし,-0.050793650793650814
scale,CZO尺度,,,post,63,葛藤あり,行動あり,3.5507936507936506
scale,CZO尺度,,,post,63,葛藤あり,行動なし,3.4603174603174605
scale,CZO尺度,,,post,63,葛藤なし,行動あり,3.534920634920635
scale,CZO尺度,,,post,63,葛藤なし,行動なし,3.438095238095238
scale,勇気尺度,,,diff,63,葛藤あり,行動あり,0.15873015873015867
scale,勇気尺度,,,diff,63,葛藤あり,行動なし,0.09523809523809523
scale,勇気尺度,,,diff,63,葛藤なし,行動あり,0.26984126984126977
scale,勇気尺度,,,diff,63,葛藤なし,行動なし,0.06878306878306877
scale,勇気尺度,,,post,63,葛藤あり,行動あり,4.542328042328043
scale,勇気尺度,,,post,63,葛藤あり,行動なし,4.4788359788359795
scale,勇気尺度,,,post,63,葛藤なし,行動あり,4.6534391534391535
scale,勇気尺度,,,post,63,葛藤なし,行動なし,4.4523809523809526
scale,葛藤尺度,,,post,63,葛藤あり,行動あり,5.25
scale,葛藤尺度,,,post,63,葛藤あり,行動なし,5.448412698412699
scale,葛藤尺度,,,post,63,葛藤なし,行動あり,3.9801587301587302
scale,葛藤尺度,,,post,63,葛藤なし,行動なし,4.408730158730159
