participant_id,group,czo_pre,courage_pre,czo_diff_conflict_mean,czo_diff_no_conflict_mean,czo_diff_conflict_minus_no_conflict,czo_diff_video1,czo_diff_video2,courage_diff_conflict_mean,courage_diff_no_conflict_mean
1,CZO事前3以下,2.5,2.8333333333333335,,,,,,,
2,CZO事前3超,3.1,4.666666666666667,-0.04999999999999982,-0.15000000000000013,0.10000000000000031,-0.2999999999999998,0.20000000000000018,0.6666666666666665,0.25
3,CZO事前3以下,2.0,4.333333333333333,-0.25,-0.20000000000000018,-0.04999999999999982,0.0,-0.5,-4.440892098500626e-16,-0.08333333333333348
4,CZO事前3超,3.2,3.6666666666666665,0.55,0.5,0.050000000000000044,0.6000000000000001,0.5,-0.583333333333333,-0.24999999999999956
5,CZO事前3超,3.1,2.3333333333333335,-0.20000000000000018,-0.20000000000000018,0.0,0.0,-0.40000000000000036,0.5,0.3333333333333335
6,CZO事前3超,3.2,4.666666666666667,0.6499999999999999,0.25,0.3999999999999999,0.6000000000000001,0.6999999999999997,0.9166666666666665,1.1666666666666665
7,CZO事前3以下,2.5,4.333333333333333,0.04999999999999982,0.04999999999999982,0.0,0.09999999999999964,0.0,0.16666666666666607,0.16666666666666652
8,CZO事前3超,3.2,3.3333333333333335,0.2999999999999998,0.19999999999999996,0.09999999999999987,0.2999999999999998,0.2999999999999998,-0.24999999999999956,-0.4166666666666663
9,CZO事前3超,3.3,4.0,-0.10000000000000009,0.04999999999999982,-0.1499999999999999,0.0,-0.20000000000000018,-2.0,-1.6666666666666667
10,CZO事前3以下,3.0,2.0,0.2500000000000002,0.15000000000000036,0.09999999999999987,0.40000000000000036,0.10000000000000009,0.5,0.4166666666666665
11,CZO事前3超,4.4,6.333333333333333,-0.09999999999999987,-0.050000000000000044,-0.04999999999999982,0.10000000000000009,-0.2999999999999998,0.0,0.25
12,CZO事前3以下,2.6,4.0,-0.050000000000000266,0.24999999999999956,-0.2999999999999998,-0.10000000000000053,0.0,-0.49999999999999956,-0.583333333333333
13,CZO事前3以下,2.0,3.1666666666666665,0.1499999999999999,0.2999999999999998,-0.1499999999999999,0.10000000000000009,0.19999999999999973,0.41666666666666696,0.25
14,CZO事前3超,3.1,5.166666666666667,0.30000000000000004,0.55,-0.25,0.3999999999999999,0.20000000000000018,2.220446049250313e-16,-0.33333333333333326
15,CZO事前3以下,3.0,2.1666666666666665,0.25,0.34999999999999987,-0.09999999999999987,0.0,0.5,0.08333333333333304,-0.25000000000000044
16,CZO事前3超,4.1,5.666666666666667,-0.050000000000000044,0.10000000000000009,-0.15000000000000013,-0.10000000000000009,0.0,-0.16666666666666652,0.0
17,CZO事前3超,3.2,4.5,-0.04999999999999982,-0.1499999999999997,0.09999999999999987,-0.09999999999999964,0.0,0.16666666666666607,0.25
18,CZO事前3以下,2.6,2.8333333333333335,-0.15000000000000013,-0.40000000000000013,0.25,-0.10000000000000009,-0.20000000000000018,0.25,0.33333333333333304
19,CZO事前3以下,2.2,2.8333333333333335,0.4999999999999998,0.3999999999999999,0.09999999999999987,0.7999999999999998,0.19999999999999973,0.833333333333333,0.833333333333333
20,CZO事前3超,3.7,4.5,0.1499999999999997,0.2999999999999998,-0.15000000000000013,0.19999999999999973,0.09999999999999964,-0.41666666666666685,-0.16666666666666685
21,CZO事前3以下,3.0,3.5,-0.8,-0.5000000000000002,-0.2999999999999998,-1.0,-0.6000000000000001,2.220446049250313e-16,-0.16666666666666652
22,CZO事前3超,4.0,4.5,0.050000000000000044,-0.050000000000000044,0.10000000000000009,0.10000000000000009,0.0,0.41666666666666674,-0.08333333333333348
23,CZO事前3超,3.7,5.833333333333333,-2.220446049250313e-16,-0.20000000000000018,0.19999999999999996,-0.10000000000000009,0.09999999999999964,0.16666666666666652,0.5833333333333335
24,CZO事前3超,3.2,3.5,-0.050000000000000044,-0.10000000000000009,0.050000000000000044,0.0,-0.10000000000000009,0.16666666666666696,0.3333333333333339
25,CZO事前3超,3.3,4.166666666666667,-0.050000000000000044,-0.30000000000000027,0.2500000000000002,-0.10000000000000009,0.0,-0.5,0.0
26,CZO事前3以下,2.7,3.6666666666666665,0.20000000000000018,-0.1499999999999999,0.3500000000000001,0.6000000000000001,-0.19999999999999973,-1.0833333333333335,-0.8333333333333339
27,CZO事前3以下,2.1,1.3333333333333333,0.19999999999999973,0.09999999999999987,0.09999999999999987,0.2999999999999998,0.09999999999999964,0.3333333333333337,-0.4166666666666665
28,CZO事前3超,4.2,5.333333333333333,0.34999999999999987,0.3999999999999999,-0.050000000000000044,0.3999999999999999,0.2999999999999998,0.33333333333333337,0.0
29,CZO事前3超,4.7,6.0,0.19999999999999973,0.04999999999999982,0.1499999999999999,0.2999999999999998,0.09999999999999964,0.7500000000000004,1.333333333333334
30,CZO事前3超,3.4,1.8333333333333333,0.09999999999999964,0.09999999999999964,0.0,0.09999999999999964,0.09999999999999964,0.5833333333333335,0.75
31,CZO事前3以下,3.0,3.5,-0.2999999999999998,-0.5,0.20000000000000018,-0.2999999999999998,-0.2999999999999998,0.5833333333333333,0.5
32,CZO事前3以下,2.8,3.5,0.050000000000000044,0.0,0.050000000000000044,0.0,0.10000000000000009,-0.16666666666666652,-0.9166666666666667
33,CZO事前3超,3.3,5.5,0.0,-0.1499999999999997,0.1499999999999997,0.0,0.0,0.08333333333333326,0.08333333333333326
34,CZO事前3超,3.3,5.166666666666667,-0.19999999999999973,-0.44999999999999996,0.2500000000000002,-0.19999999999999973,-0.19999999999999973,0.0,0.08333333333333304
35,CZO事前3超,3.4,5.166666666666667,0.6000000000000001,0.40000000000000013,0.19999999999999996,0.40000000000000036,0.7999999999999998,0.583333333333333,1.2499999999999996
36,CZO事前3以下,2.5,2.6666666666666665,0.050000000000000044,0.0,0.050000000000000044,0.0,0.10000000000000009,-0.16666666666666696,-0.16666666666666696
37,CZO事前3超,3.4,3.5,0.20000000000000018,0.25,-0.04999999999999982,0.20000000000000018,0.20000000000000018,-0.33333333333333326,-0.08333333333333326
