target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,conflict,0.08757157292017613,1.0,104.0,0.7678774736532108,0.0008413259296651617
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,action,44.352650579517366,1.0,104.0,1.3298714198577423e-09,0.29896769896769887
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,conflict:action,9.000598921940474,1.0,104.0,0.0033780673657189714,0.07965089572806587
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,conflict,2.6545123062898908,1.0,104.0,0.10628181396334557,0.024888888888888974
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,action,41.20754716981129,1.0,104.0,4.153212597775133e-09,0.28378378378378366
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,conflict:action,3.658227848101296,1.0,104.0,0.05854380451583755,0.03398001175778981
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,conflict,0.01031848397658879,1.0,104.0,0.919285690619481,9.920634920638585e-05
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,action,72.61845386533665,1.0,104.0,1.3168802194773682e-13,0.4111600587371512
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,conflict:action,3.9923436835389428,1.0,104.0,0.048317992815744185,0.03696876600102427
scale,CZO尺度,,,diff,105,conflict,10.370984768511534,1.0,104.0,0.0017086513618712322,0.09067846000891355
scale,CZO尺度,,,diff,105,action,3.4999999999999893,1.0,104.0,0.06418007434926126,0.03255813953488362
scale,CZO尺度,,,diff,105,conflict:action,0.005568246716185484,1.0,104.0,0.9406598587551136,5.353796734206385e-05
scale,CZO尺度,,,post,105,conflict,10.370984768511596,1.0,104.0,0.0017086513618711854,0.09067846000891405
scale,CZO尺度,,,post,105,action,3.5000000000000004,1.0,104.0,0.06418007434926064,0.03255813953488373
scale,CZO尺度,,,post,105,conflict:action,0.005568246716162404,1.0,104.0,0.940659858755175,5.353796734184195e-05
scale,勇気尺度,,,diff,105,conflict,0.7960911093119162,1.0,104.0,0.37432443707732066,0.007596572552324688
scale,勇気尺度,,,diff,105,action,4.994497248624305,1.0,104.0,0.027566579653046517,0.04582338902147966
scale,勇気尺度,,,diff,105,conflict:action,4.6531235533538124,1.0,104.0,0.03330013553434586,0.04282549273485828
scale,勇気尺度,,,post,105,conflict,0.7960911093119006,1.0,104.0,0.3743244370773242,0.0075965725523245405
scale,勇気尺度,,,post,105,action,4.994497248624296,1.0,104.0,0.027566579653046517,0.045823389021479574
scale,勇気尺度,,,post,105,conflict:action,4.6531235533538124,1.0,104.0,0.03330013553434586,0.04282549273485828
scale,葛藤尺度,,,post,105,conflict,44.34808041024041,1.0,104.0,1.332048866746551e-09,0.2989461022185163
scale,葛藤尺度,,,post,105,action,6.0396838199709615,1.0,104.0,0.015640980510590263,0.05488641561213598
scale,葛藤尺度,,,post,105,conflict:action,1.1609034579252508,1.0,104.0,0.2837711217463523,0.011039306622063464
