target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,葛藤あり,行動あり,3.8666666666666667
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,葛藤あり,行動なし,3.1523809523809523
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,葛藤なし,行動あり,4.085714285714285
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,105,葛藤なし,行動なし,2.8857142857142857
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,葛藤あり,行動あり,3.8380952380952382
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,葛藤あり,行動なし,3.0
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,葛藤なし,行動あり,4.133333333333334
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,105,葛藤なし,行動なし,2.9714285714285715
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,葛藤あり,行動あり,4.133333333333334
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,葛藤あり,行動なし,2.980952380952381
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,葛藤なし,行動あり,4.304761904761905
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,105,葛藤なし,行動なし,2.7904761904761903
scale,CZO尺度,,,diff,105,葛藤あり,行動あり,0.09714285714285714
scale,CZO尺度,,,diff,105,葛藤あり,行動なし,0.04857142857142855
scale,CZO尺度,,,diff,105,葛藤なし,行動あり,0.15333333333333335
scale,CZO尺度,,,diff,105,葛藤なし,行動なし,0.1019047619047619
scale,CZO尺度,,,post,105,葛藤あり,行動あり,3.097142857142857
scale,CZO尺度,,,post,105,葛藤あり,行動なし,3.048571428571429
scale,CZO尺度,,,post,105,葛藤なし,行動あり,3.1533333333333338
scale,CZO尺度,,,post,105,葛藤なし,行動なし,3.1019047619047617
scale,勇気尺度,,,diff,105,葛藤あり,行動あり,0.1031746031746032
scale,勇気尺度,,,diff,105,葛藤あり,行動なし,0.0666666666666667
scale,勇気尺度,,,diff,105,葛藤なし,行動あり,0.15873015873015872
scale,勇気尺度,,,diff,105,葛藤なし,行動なし,-0.07142857142857142
scale,勇気尺度,,,post,105,葛藤あり,行動あり,3.9047619047619047
scale,勇気尺度,,,post,105,葛藤あり,行動なし,3.8682539682539683
scale,勇気尺度,,,post,105,葛藤なし,行動あり,3.96031746031746
scale,勇気尺度,,,post,105,葛藤なし,行動なし,3.7301587301587302
scale,葛藤尺度,,,post,105,葛藤あり,行動あり,5.004761904761905
scale,葛藤尺度,,,post,105,葛藤あり,行動なし,5.140476190476191
scale,葛藤尺度,,,post,105,葛藤なし,行動あり,3.961904761904762
scale,葛藤尺度,,,post,105,葛藤なし,行動なし,4.254761904761905
