target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,conflict,1.874999999999996,1.0,20.0,0.18608495069417866,0.08571428571428555
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,action,16.162587412587406,1.0,20.0,0.0006709533219871217,0.4469422286681169
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,conflict:action,2.4780058651026358,1.0,20.0,0.1311352604420345,0.11024135681669915
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,conflict,0.08875739644970602,1.0,20.0,0.7688356782229216,0.004418262150221007
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,action,12.858136300417252,1.0,20.0,0.0018481946422612076,0.39132275132275146
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,conflict:action,0.19230769230769962,1.0,20.0,0.6657032602970342,0.009523809523809882
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,conflict,0.08695652173912363,1.0,20.0,0.7711217886460051,0.0043290043290039925
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,action,12.873326467559213,1.0,20.0,0.0018391302261921857,0.3916040100250626
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,conflict:action,0.1923076923076952,1.0,20.0,0.6657032602970379,0.009523809523809665
scale,CZO尺度,,,diff,21,conflict,141.414913957935,1.0,20.0,1.5952681882333526e-10,0.8760957119166074
scale,CZO尺度,,,diff,21,action,4.137931034482756,1.0,20.0,0.0554103978017973,0.17142857142857135
scale,CZO尺度,,,diff,21,conflict:action,1.6494845360824621,1.0,20.0,0.213707472718227,0.07619047619047568
scale,CZO尺度,,,post,21,conflict,141.4149139579349,1.0,20.0,1.5952681882333598e-10,0.8760957119166074
scale,CZO尺度,,,post,21,action,4.13793103448278,1.0,20.0,0.05541039780179662,0.17142857142857218
scale,CZO尺度,,,post,21,conflict:action,1.6494845360825048,1.0,20.0,0.21370747271822113,0.0761904761904775
scale,勇気尺度,,,diff,21,conflict,0.7514559458951656,1.0,20.0,0.39629701540561946,0.036212203512583446
scale,勇気尺度,,,diff,21,action,1.8257681122771539,1.0,20.0,0.19171647483279064,0.083651952265091
scale,勇気尺度,,,diff,21,conflict:action,0.22789993768361314,1.0,20.0,0.6382609047947747,0.011266613854414338
scale,勇気尺度,,,post,21,conflict,0.7514559458951904,1.0,20.0,0.39629701540561135,0.0362122035125846
scale,勇気尺度,,,post,21,action,1.8257681122771647,1.0,20.0,0.19171647483278947,0.08365195226509146
scale,勇気尺度,,,post,21,conflict:action,0.22789993768361796,1.0,20.0,0.6382609047947714,0.011266613854414576
scale,葛藤尺度,,,post,21,conflict,7.594434181046346,1.0,20.0,0.012189743903369974,0.27521615885361034
scale,葛藤尺度,,,post,21,action,0.6241972771641399,1.0,20.0,0.43875954218210167,0.030265288329804418
scale,葛藤尺度,,,post,21,conflict:action,0.58656383194642,1.0,20.0,0.4526956967551573,0.02849255644286711
