target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,葛藤あり,行動あり,3.4761904761904763
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,葛藤あり,行動なし,2.761904761904762
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,葛藤なし,行動あり,4.0
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,21,葛藤なし,行動なし,2.6666666666666665
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,葛藤あり,行動あり,3.5714285714285716
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,葛藤あり,行動なし,2.619047619047619
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,葛藤なし,行動あり,3.7142857142857144
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,21,葛藤なし,行動なし,2.619047619047619
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,葛藤あり,行動あり,3.9523809523809526
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,葛藤あり,行動なし,2.857142857142857
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,葛藤なし,行動あり,4.0
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,21,葛藤なし,行動なし,2.7142857142857144
scale,CZO尺度,,,diff,21,葛藤あり,行動あり,-0.02857142857142848
scale,CZO尺度,,,diff,21,葛藤あり,行動なし,-0.04285714285714282
scale,CZO尺度,,,diff,21,葛藤なし,行動あり,-0.20476190476190476
scale,CZO尺度,,,diff,21,葛藤なし,行動なし,-0.27619047619047615
scale,CZO尺度,,,post,21,葛藤あり,行動あり,3.080952380952381
scale,CZO尺度,,,post,21,葛藤あり,行動なし,3.066666666666667
scale,CZO尺度,,,post,21,葛藤なし,行動あり,2.9047619047619047
scale,CZO尺度,,,post,21,葛藤なし,行動なし,2.8333333333333335
scale,勇気尺度,,,diff,21,葛藤あり,行動あり,0.14285714285714277
scale,勇気尺度,,,diff,21,葛藤あり,行動なし,0.2301587301587301
scale,勇気尺度,,,diff,21,葛藤なし,行動あり,0.15873015873015867
scale,勇気尺度,,,diff,21,葛藤なし,行動なし,0.37301587301587297
scale,勇気尺度,,,post,21,葛藤あり,行動あり,3.634920634920635
scale,勇気尺度,,,post,21,葛藤あり,行動なし,3.7222222222222223
scale,勇気尺度,,,post,21,葛藤なし,行動あり,3.650793650793651
scale,勇気尺度,,,post,21,葛藤なし,行動なし,3.865079365079365
scale,葛藤尺度,,,post,21,葛藤あり,行動あり,5.511904761904762
scale,葛藤尺度,,,post,21,葛藤あり,行動なし,5.571428571428571
scale,葛藤尺度,,,post,21,葛藤なし,行動あり,4.583333333333333
scale,葛藤尺度,,,post,21,葛藤なし,行動なし,4.845238095238095
