target,group,conflict,action,mean_score,sd_score,n
主観勇気評定（項目1+3平均）,事前勇気<4,葛藤なし,行動あり,3.630434782608696,1.330226025445442,69
主観勇気評定（項目1+3平均）,事前勇気<4,葛藤なし,行動なし,2.6449275362318843,1.3722605043251102,69
主観勇気評定（項目1+3平均）,事前勇気<4,葛藤あり,行動あり,3.601449275362319,1.2144343579993007,69
主観勇気評定（項目1+3平均）,事前勇気<4,葛藤あり,行動なし,2.760869565217391,1.235530059065428,69
主観勇気評定（項目1+3平均）,事前勇気>=4,葛藤なし,行動あり,4.807017543859649,1.413438013336227,57
主観勇気評定（項目1+3平均）,事前勇気>=4,葛藤なし,行動なし,3.017543859649123,1.6365384643702723,57
主観勇気評定（項目1+3平均）,事前勇気>=4,葛藤あり,行動あり,4.37719298245614,1.3505313165908934,57
主観勇気評定（項目1+3平均）,事前勇気>=4,葛藤あり,行動なし,3.3421052631578947,1.637064813319106,57
勇気尺度（diff）,事前勇気<4,葛藤なし,行動あり,0.1714975845410628,0.8440347265863072,69
勇気尺度（diff）,事前勇気<4,葛藤なし,行動なし,0.01932367149758453,0.9957164103498128,69
勇気尺度（diff）,事前勇気<4,葛藤あり,行動あり,0.2318840579710145,0.7514786031118414,69
勇気尺度（diff）,事前勇気<4,葛藤あり,行動なし,0.2028985507246377,0.781667798202174,69
勇気尺度（diff）,事前勇気>=4,葛藤なし,行動あり,0.14327485380116958,0.5879398020246543,57
勇気尺度（diff）,事前勇気>=4,葛藤なし,行動なし,-0.017543859649122792,0.713172691723787,57
勇気尺度（diff）,事前勇気>=4,葛藤あり,行動あり,-0.03801169590643276,0.5069140450481838,57
勇気尺度（diff）,事前勇気>=4,葛藤あり,行動なし,-0.038011695906432726,0.6523899468246779,57
勇気尺度（post）,事前勇気<4,葛藤なし,行動あり,3.0579710144927534,1.0313018008208086,69
勇気尺度（post）,事前勇気<4,葛藤なし,行動なし,2.9057971014492754,1.0761368289240167,69
勇気尺度（post）,事前勇気<4,葛藤あり,行動あり,3.1183574879227054,0.984811720698413,69
勇気尺度（post）,事前勇気<4,葛藤あり,行動なし,3.0893719806763285,0.9661677677024643,69
勇気尺度（post）,事前勇気>=4,葛藤なし,行動あり,4.93859649122807,0.9011850547606617,57
勇気尺度（post）,事前勇気>=4,葛藤なし,行動なし,4.777777777777778,1.0701270754784022,57
勇気尺度（post）,事前勇気>=4,葛藤あり,行動あり,4.757309941520468,0.8475397257619487,57
勇気尺度（post）,事前勇気>=4,葛藤あり,行動なし,4.757309941520468,1.006955067209833,57
葛藤尺度（post）,事前勇気<4,葛藤なし,行動あり,4.083333333333333,1.4372069181193765,69
葛藤尺度（post）,事前勇気<4,葛藤なし,行動なし,4.27536231884058,1.5417861869294032,69
葛藤尺度（post）,事前勇気<4,葛藤あり,行動あり,4.952898550724638,1.1712513437110443,69
葛藤尺度（post）,事前勇気<4,葛藤あり,行動なし,5.076086956521739,1.258284566841259,69
葛藤尺度（post）,事前勇気>=4,葛藤なし,行動あり,4.043859649122807,1.476091308618287,57
葛藤尺度（post）,事前勇気>=4,葛藤なし,行動なし,4.447368421052632,1.3933330110563118,57
葛藤尺度（post）,事前勇気>=4,葛藤あり,行動あり,5.254385964912281,1.0758003956255406,57
葛藤尺度（post）,事前勇気>=4,葛藤あり,行動なし,5.37719298245614,1.0233030454401166,57
