target,conflict,action,group_low_n,group_high_n,levene_W,p_value
主観勇気評定（項目1+3平均）,葛藤なし,行動あり,69,57,0.20501146880797552,0.6514970019973982
主観勇気評定（項目1+3平均）,葛藤なし,行動なし,69,57,3.0679190820853957,0.08232408762182851
主観勇気評定（項目1+3平均）,葛藤あり,行動あり,69,57,0.0004871312877747694,0.9824267556951893
主観勇気評定（項目1+3平均）,葛藤あり,行動なし,69,57,8.28226590175241,0.004715838258073833
勇気尺度（diff）,葛藤なし,行動あり,69,57,6.700874801416482,0.01078779768508166
勇気尺度（diff）,葛藤なし,行動なし,69,57,2.2411522237010773,0.13692193515970372
勇気尺度（diff）,葛藤あり,行動あり,69,57,5.0785935012658,0.0259794499538715
勇気尺度（diff）,葛藤あり,行動なし,69,57,2.8608522660141458,0.09327119429341837
勇気尺度（post）,葛藤なし,行動あり,69,57,2.836798977512072,0.0946431292262017
勇気尺度（post）,葛藤なし,行動なし,69,57,0.0076657925165974005,0.9303719932741683
勇気尺度（post）,葛藤あり,行動あり,69,57,1.8697543085136445,0.1739766838150669
勇気尺度（post）,葛藤あり,行動なし,69,57,0.22575993782280207,0.6355216044321557
葛藤尺度（post）,葛藤なし,行動あり,69,57,0.03522693413697918,0.8514277079829484
葛藤尺度（post）,葛藤なし,行動なし,69,57,1.4657889145591916,0.22831386109332832
葛藤尺度（post）,葛藤あり,行動あり,69,57,0.10417567458066596,0.7474186637070052
葛藤尺度（post）,葛藤あり,行動なし,69,57,2.0925383397433865,0.15054304170448213
