target,effect,group_low_n,group_high_n,levene_W,p_value
主観勇気評定（項目1+3平均）,group,69,57,0.2599822549085139,0.6110386830287338
主観勇気評定（項目1+3平均）,group:conflict,69,57,6.60989914945937,0.011322754726418877
主観勇気評定（項目1+3平均）,group:action,69,57,4.340850032927775,0.03926238943114606
主観勇気評定（項目1+3平均）,group:conflict:action,69,57,0.3019997400093433,0.583619847857844
勇気尺度（diff）,group,69,57,5.093510138972734,0.02576594180740185
勇気尺度（diff）,group:conflict,69,57,5.236581095214282,0.023809464464612413
勇気尺度（diff）,group:action,69,57,0.4481739575441799,0.50444801058661
勇気尺度（diff）,group:conflict:action,69,57,7.219386741581275,0.008201490158067834
勇気尺度（post）,group,69,57,0.18362639770755856,0.6690185689217274
勇気尺度（post）,group:conflict,69,57,5.236581095214282,0.023809464464612413
勇気尺度（post）,group:action,69,57,0.4481739575441807,0.50444801058661
勇気尺度（post）,group:conflict:action,69,57,7.219386741581275,0.008201490158067834
葛藤尺度（post）,group,69,57,2.362124548904405,0.12686058889207227
葛藤尺度（post）,group:conflict,69,57,0.0441576894635288,0.8339053970425617
葛藤尺度（post）,group:action,69,57,1.4961253561253576,0.2235879584488801
葛藤尺度（post）,group:conflict:action,69,57,0.4346619402814775,0.5109327553243066
