participant_id,video_no,conflict,action,score,score_type,target,pre_courage,group
1,1,葛藤あり,行動あり,3.1666666666666665,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
2,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
3,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
4,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
5,1,葛藤あり,行動あり,3.5,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
6,1,葛藤あり,行動あり,5.333333333333333,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
7,1,葛藤あり,行動あり,4.166666666666667,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
8,1,葛藤あり,行動あり,1.5,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
9,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.0,事前勇気>=4
10,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,2.0,事前勇気<4
11,1,葛藤あり,行動あり,5.5,post,勇気尺度（post）,6.333333333333333,事前勇気>=4
12,1,葛藤あり,行動あり,4.666666666666667,post,勇気尺度（post）,4.0,事前勇気>=4
13,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,3.1666666666666665,事前勇気<4
14,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
15,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,2.1666666666666665,事前勇気<4
16,1,葛藤あり,行動あり,5.833333333333333,post,勇気尺度（post）,5.666666666666667,事前勇気>=4
17,1,葛藤あり,行動あり,4.833333333333333,post,勇気尺度（post）,4.5,事前勇気>=4
18,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
19,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
20,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,4.5,事前勇気>=4
21,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.5,事前勇気<4
22,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.5,事前勇気>=4
23,1,葛藤あり,行動あり,6.0,post,勇気尺度（post）,5.833333333333333,事前勇気>=4
24,1,葛藤あり,行動あり,2.3333333333333335,post,勇気尺度（post）,3.5,事前勇気<4
25,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
26,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
27,1,葛藤あり,行動あり,1.8333333333333333,post,勇気尺度（post）,1.3333333333333333,事前勇気<4
28,1,葛藤あり,行動あり,6.0,post,勇気尺度（post）,5.333333333333333,事前勇気>=4
29,1,葛藤あり,行動あり,6.666666666666667,post,勇気尺度（post）,6.0,事前勇気>=4
30,1,葛藤あり,行動あり,2.6666666666666665,post,勇気尺度（post）,1.8333333333333333,事前勇気<4
31,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,3.5,事前勇気<4
32,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,3.5,事前勇気<4
33,1,葛藤あり,行動あり,5.333333333333333,post,勇気尺度（post）,5.5,事前勇気>=4
34,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
35,1,葛藤あり,行動あり,5.166666666666667,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
36,1,葛藤あり,行動あり,2.5,post,勇気尺度（post）,2.6666666666666665,事前勇気<4
37,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.5,事前勇気<4
38,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,3.8333333333333335,事前勇気<4
39,1,葛藤あり,行動あり,1.6666666666666667,post,勇気尺度（post）,1.5,事前勇気<4
40,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
41,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.8333333333333335,事前勇気<4
42,1,葛藤あり,行動あり,3.1666666666666665,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
43,1,葛藤あり,行動あり,3.5,post,勇気尺度（post）,3.5,事前勇気<4
44,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
45,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,3.5,事前勇気<4
46,1,葛藤あり,行動あり,2.8333333333333335,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
47,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
48,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.5,事前勇気>=4
49,1,葛藤あり,行動あり,4.166666666666667,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
50,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,4.5,事前勇気>=4
51,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.0,事前勇気<4
52,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
53,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.0,事前勇気>=4
54,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
55,1,葛藤あり,行動あり,5.833333333333333,post,勇気尺度（post）,5.333333333333333,事前勇気>=4
56,1,葛藤あり,行動あり,2.8333333333333335,post,勇気尺度（post）,2.5,事前勇気<4
57,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,2.5,事前勇気<4
58,1,葛藤あり,行動あり,1.8333333333333333,post,勇気尺度（post）,2.0,事前勇気<4
59,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.0,事前勇気<4
60,1,葛藤あり,行動あり,4.833333333333333,post,勇気尺度（post）,5.333333333333333,事前勇気>=4
61,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
62,1,葛藤あり,行動あり,2.8333333333333335,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
