target,effect_tested,group,conflict,action,level_a,level_b,n,normality_p,normality_ok_05,test_used,stat_label,stat_value,p_value,significance
勇気尺度（post）,葛藤の単純主効果,事前勇気<4,,平均化,葛藤あり,葛藤なし,69,0.15240338943271758,True,paired_t,t,1.9804481442696908,0.05170071014055402,†
勇気尺度（post）,葛藤の単純主効果,事前勇気>=4,,平均化,葛藤あり,葛藤なし,57,0.0022117782545687903,False,wilcoxon,W,404.0,0.037955655161532466,*
勇気尺度（diff）,葛藤の単純主効果,事前勇気<4,,平均化,葛藤あり,葛藤なし,69,0.15240338943271758,True,paired_t,t,1.9804481442696924,0.05170071014055382,†
勇気尺度（diff）,葛藤の単純主効果,事前勇気>=4,,平均化,葛藤あり,葛藤なし,57,0.002211778254568646,False,wilcoxon,W,418.0,0.03406495030747364,*
主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気<4,葛藤なし,,行動あり,行動なし,69,0.0006486812619777709,False,wilcoxon,W,197.5,6.918374952386531e-06,***
主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気<4,葛藤あり,,行動あり,行動なし,69,0.0010742285589036061,False,wilcoxon,W,110.0,1.384472360276581e-06,***
主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気>=4,葛藤なし,,行動あり,行動なし,57,0.0016071624301275283,False,wilcoxon,W,22.5,2.1627711252201672e-08,***
主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気>=4,葛藤あり,,行動あり,行動なし,57,0.002827876953261272,False,wilcoxon,W,151.5,3.2499944216590266e-05,***
主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気<4,,行動あり,葛藤あり,葛藤なし,69,0.005431164928728459,False,wilcoxon,W,476.5,0.8265273214606595,ns
主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気<4,,行動なし,葛藤あり,葛藤なし,69,1.5546337871243608e-08,False,wilcoxon,W,303.5,0.14106449597877294,ns
主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気>=4,,行動あり,葛藤あり,葛藤なし,57,0.004950891787380357,False,wilcoxon,W,232.0,0.005413310412843004,**
主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気>=4,,行動なし,葛藤あり,葛藤なし,57,0.00039627567348393585,False,wilcoxon,W,255.5,0.09207716389312758,†
