target,participant_id,group,pre_courage,v1,v2,v3,v4,grand_mean,conflict_contrast,action_contrast,interaction_contrast
主観勇気評定（項目1+3平均）,1,事前勇気<4,2.8333333333333335,3.0,3.0,4.0,3.0,3.25,-0.5,0.5,-0.5
主観勇気評定（項目1+3平均）,2,事前勇気>=4,4.666666666666667,4.0,4.5,5.0,4.5,4.5,-0.5,0.0,-0.5
主観勇気評定（項目1+3平均）,3,事前勇気>=4,4.333333333333333,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,4,事前勇気<4,3.6666666666666665,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,5,事前勇気<4,2.3333333333333335,5.0,4.5,5.0,2.0,4.125,1.25,1.75,-1.25
主観勇気評定（項目1+3平均）,6,事前勇気>=4,4.666666666666667,5.0,2.0,5.5,2.0,3.625,-0.25,3.25,-0.25
主観勇気評定（項目1+3平均）,7,事前勇気>=4,4.333333333333333,4.5,1.0,2.0,1.0,2.125,1.25,2.25,1.25
主観勇気評定（項目1+3平均）,8,事前勇気<4,3.3333333333333335,3.0,1.0,2.5,2.0,2.125,-0.25,1.25,0.75
主観勇気評定（項目1+3平均）,9,事前勇気>=4,4.0,5.0,4.5,5.0,4.0,4.625,0.25,0.75,-0.25
主観勇気評定（項目1+3平均）,10,事前勇気<4,2.0,2.5,3.0,2.0,2.0,2.375,0.75,-0.25,-0.25
主観勇気評定（項目1+3平均）,11,事前勇気>=4,6.333333333333333,3.5,3.0,7.0,5.0,4.625,-2.75,1.25,-0.75
主観勇気評定（項目1+3平均）,12,事前勇気>=4,4.0,5.0,5.0,5.0,4.0,4.75,0.5,0.5,-0.5
主観勇気評定（項目1+3平均）,13,事前勇気<4,3.1666666666666665,4.0,3.5,4.5,3.0,3.75,0.0,1.0,-0.5
主観勇気評定（項目1+3平均）,14,事前勇気>=4,5.166666666666667,5.0,4.5,5.5,1.5,4.125,1.25,2.25,-1.75
主観勇気評定（項目1+3平均）,15,事前勇気<4,2.1666666666666665,2.5,2.0,2.0,2.0,2.125,0.25,0.25,0.25
主観勇気評定（項目1+3平均）,16,事前勇気>=4,5.666666666666667,5.0,7.0,7.0,6.5,6.375,-0.75,-0.75,-1.25
主観勇気評定（項目1+3平均）,17,事前勇気>=4,4.5,3.0,5.0,4.5,2.0,3.625,0.75,0.25,-2.25
主観勇気評定（項目1+3平均）,18,事前勇気<4,2.8333333333333335,3.5,3.5,3.5,4.0,3.625,-0.25,-0.25,0.25
主観勇気評定（項目1+3平均）,19,事前勇気<4,2.8333333333333335,4.5,2.0,4.5,1.0,3.0,0.5,3.0,-0.5
主観勇気評定（項目1+3平均）,20,事前勇気>=4,4.5,6.0,6.0,5.5,5.5,5.75,0.5,0.0,0.0
主観勇気評定（項目1+3平均）,21,事前勇気<4,3.5,3.5,3.5,4.0,3.5,3.625,-0.25,0.25,-0.25
主観勇気評定（項目1+3平均）,22,事前勇気>=4,4.5,2.5,1.5,3.5,2.0,2.375,-0.75,1.25,-0.25
主観勇気評定（項目1+3平均）,23,事前勇気>=4,5.833333333333333,3.5,4.0,5.0,4.0,4.125,-0.75,0.25,-0.75
主観勇気評定（項目1+3平均）,24,事前勇気<4,3.5,2.5,2.5,3.5,3.0,2.875,-0.75,0.25,-0.25
主観勇気評定（項目1+3平均）,25,事前勇気>=4,4.166666666666667,5.5,1.5,5.0,1.0,3.25,0.5,4.0,0.0
主観勇気評定（項目1+3平均）,26,事前勇気<4,3.6666666666666665,4.5,3.5,3.0,4.0,3.75,0.5,0.0,1.0
主観勇気評定（項目1+3平均）,27,事前勇気<4,1.3333333333333333,2.0,1.0,3.5,1.0,1.875,-0.75,1.75,-0.75
主観勇気評定（項目1+3平均）,28,事前勇気>=4,5.333333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,29,事前勇気>=4,6.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,30,事前勇気<4,1.8333333333333333,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,31,事前勇気<4,3.5,2.5,3.5,3.0,3.0,3.0,0.0,-0.5,-0.5
主観勇気評定（項目1+3平均）,32,事前勇気<4,3.5,5.5,5.5,5.5,6.0,5.625,-0.25,-0.25,0.25
主観勇気評定（項目1+3平均）,33,事前勇気>=4,5.5,5.0,1.5,6.0,1.0,3.375,-0.25,4.25,-0.75
主観勇気評定（項目1+3平均）,34,事前勇気>=4,5.166666666666667,6.5,6.5,6.0,6.5,6.375,0.25,-0.25,0.25
主観勇気評定（項目1+3平均）,35,事前勇気>=4,5.166666666666667,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,36,事前勇気<4,2.6666666666666665,3.0,2.0,3.0,2.0,2.5,0.0,1.0,0.0
主観勇気評定（項目1+3平均）,37,事前勇気<4,3.5,3.0,2.5,5.0,2.0,3.125,-0.75,1.75,-1.25
主観勇気評定（項目1+3平均）,38,事前勇気<4,3.8333333333333335,5.0,2.0,5.0,2.0,3.5,0.0,3.0,0.0
主観勇気評定（項目1+3平均）,39,事前勇気<4,1.5,1.5,2.0,1.0,1.0,1.375,0.75,-0.25,-0.25
主観勇気評定（項目1+3平均）,40,事前勇気<4,2.3333333333333335,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
主観勇気評定（項目1+3平均）,41,事前勇気<4,3.8333333333333335,5.0,2.5,5.5,3.0,4.0,-0.5,2.5,0.0
主観勇気評定（項目1+3平均）,42,事前勇気<4,2.8333333333333335,5.0,2.0,5.0,3.5,3.875,-0.75,2.25,0.75
主観勇気評定（項目1+3平均）,43,事前勇気<4,3.5,2.0,2.0,3.0,2.0,2.25,-0.5,0.5,-0.5
主観勇気評定（項目1+3平均）,44,事前勇気<4,2.3333333333333335,2.5,1.0,3.5,1.0,2.0,-0.5,2.0,-0.5
主観勇気評定（項目1+3平均）,45,事前勇気<4,3.5,5.5,4.0,4.5,4.0,4.5,0.5,1.0,0.5
主観勇気評定（項目1+3平均）,46,事前勇気<4,3.3333333333333335,4.0,2.5,2.0,3.0,2.875,0.75,0.25,1.25
主観勇気評定（項目1+3平均）,47,事前勇気>=4,5.166666666666667,2.0,1.0,5.0,3.0,2.75,-2.5,1.5,-0.5
主観勇気評定（項目1+3平均）,48,事前勇気>=4,4.5,5.0,5.0,5.0,1.5,4.125,1.75,1.75,-1.75
主観勇気評定（項目1+3平均）,49,事前勇気<4,3.6666666666666665,5.0,4.0,3.0,4.5,4.125,0.75,-0.25,1.25
主観勇気評定（項目1+3平均）,50,事前勇気>=4,4.5,4.5,5.0,4.0,3.5,4.25,1.0,0.0,-0.5
主観勇気評定（項目1+3平均）,51,事前勇気<4,2.0,3.0,5.0,3.0,1.5,3.125,1.75,-0.25,-1.75
主観勇気評定（項目1+3平均）,52,事前勇気>=4,4.166666666666667,4.5,2.5,4.5,1.0,3.125,0.75,2.75,-0.75
主観勇気評定（項目1+3平均）,53,事前勇気>=4,4.0,5.0,3.0,4.0,3.0,3.75,0.5,1.5,0.5
