target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,conflict,0.4401600582029814,1.0,80.0,0.5089525551220494,0.005471894360783231
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,action,37.92081089642066,1.0,80.0,2.7850189742321373e-08,0.3215786137167049
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,conflict:action,12.26185650587759,1.0,80.0,0.0007593287328377676,0.13290277228592776
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,conflict,4.571428571428555,1.0,80.0,0.03556129515263126,0.05405405405405387
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,action,31.941265385445902,1.0,80.0,2.3602018399355466e-07,0.2853395061728395
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,conflict:action,2.9074726497311074,1.0,80.0,0.09205042182459396,0.03506888531043091
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,conflict,0.3059975520195877,1.0,80.0,0.581689293738094,0.0038103947568968624
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,action,59.17556910341743,1.0,80.0,3.22800406558397e-11,0.4251864711934156
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,conflict:action,1.4311058545239732,1.0,80.0,0.23511754027129783,0.017574437182280595
scale,CZO尺度,,,diff,81,conflict,0.08734387282732778,1.0,80.0,0.7683471459977177,0.0010906076866030576
scale,CZO尺度,,,diff,81,action,2.4804656535229777,1.0,80.0,0.11921472673727032,0.03007337111726199
scale,CZO尺度,,,diff,81,conflict:action,0.03800475059384536,1.0,80.0,0.8459278514961937,0.0004748338081674054
scale,CZO尺度,,,post,81,conflict,0.08734387282734037,1.0,80.0,0.7683471459976947,0.0010906076866032146
scale,CZO尺度,,,post,81,action,2.4804656535229914,1.0,80.0,0.11921472673726843,0.030073371117262153
scale,CZO尺度,,,post,81,conflict:action,0.03800475059384536,1.0,80.0,0.8459278514961937,0.0004748338081674054
scale,勇気尺度,,,diff,81,conflict,0.2035858877964115,1.0,80.0,0.6530625839968818,0.002538363909080388
scale,勇気尺度,,,diff,81,action,1.1417113876275307,1.0,80.0,0.2885046044429968,0.014070585499156955
scale,勇気尺度,,,diff,81,conflict:action,2.9660671158702563,1.0,80.0,0.08889257018277202,0.03575036420284756
scale,勇気尺度,,,post,81,conflict,0.203585887796429,1.0,80.0,0.6530625839968605,0.0025383639090806047
scale,勇気尺度,,,post,81,action,1.1417113876275415,1.0,80.0,0.2885046044429925,0.014070585499157087
scale,勇気尺度,,,post,81,conflict:action,2.9660671158702927,1.0,80.0,0.08889257018277047,0.03575036420284799
scale,葛藤尺度,,,post,81,conflict,29.00786543104121,1.0,80.0,7.050612077501147e-07,0.266108003457711
scale,葛藤尺度,,,post,81,action,9.651687809073321,1.0,80.0,0.0026180577956776197,0.10765762524881889
scale,葛藤尺度,,,post,81,conflict:action,2.519440124416796,1.0,80.0,0.11639535506556453,0.030531473803241612
