target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,葛藤なし,行動あり,4.580246913580247
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,葛藤なし,行動なし,3.1728395061728394
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,葛藤あり,行動あり,4.172839506172839
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,81,葛藤あり,行動なし,3.4444444444444446
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,葛藤なし,行動あり,4.444444444444445
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,葛藤なし,行動なし,3.2098765432098766
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,葛藤あり,行動あり,4.049382716049383
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,81,葛藤あり,行動なし,3.1604938271604937
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,葛藤なし,行動あり,4.617283950617284
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,葛藤なし,行動なし,3.0617283950617282
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,葛藤あり,行動あり,4.419753086419753
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,81,葛藤あり,行動なし,3.1358024691358026
scale,CZO尺度,,,diff,81,葛藤なし,行動あり,0.09259259259259259
scale,CZO尺度,,,diff,81,葛藤なし,行動なし,0.05061728395061727
scale,CZO尺度,,,diff,81,葛藤あり,行動あり,0.09012345679012347
scale,CZO尺度,,,diff,81,葛藤あり,行動なし,0.04074074074074071
scale,CZO尺度,,,post,81,葛藤なし,行動あり,3.35679012345679
scale,CZO尺度,,,post,81,葛藤なし,行動なし,3.314814814814815
scale,CZO尺度,,,post,81,葛藤あり,行動あり,3.354320987654321
scale,CZO尺度,,,post,81,葛藤あり,行動なし,3.304938271604938
scale,勇気尺度,,,diff,81,葛藤なし,行動あり,0.13374485596707816
scale,勇気尺度,,,diff,81,葛藤なし,行動なし,-0.018518518518518504
scale,勇気尺度,,,diff,81,葛藤あり,行動あり,0.026748971193415648
scale,勇気尺度,,,diff,81,葛藤あり,行動なし,0.0432098765432099
scale,勇気尺度,,,post,81,葛藤なし,行動あり,4.580246913580247
scale,勇気尺度,,,post,81,葛藤なし,行動なし,4.42798353909465
scale,勇気尺度,,,post,81,葛藤あり,行動あり,4.473251028806584
scale,勇気尺度,,,post,81,葛藤あり,行動なし,4.489711934156379
scale,葛藤尺度,,,post,81,葛藤なし,行動あり,4.089506172839506
scale,葛藤尺度,,,post,81,葛藤なし,行動なし,4.5246913580246915
scale,葛藤尺度,,,post,81,葛藤あり,行動あり,5.1080246913580245
scale,葛藤尺度,,,post,81,葛藤あり,行動なし,5.29320987654321
