target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,conflict,0.0,1.0,55.0,1.0,0.0
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,action,18.479125248508947,1.0,55.0,7.073551819900014e-05,0.25148809523809523
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,conflict:action,0.8036236119228485,1.0,55.0,0.3739192463403691,0.01440092165898611
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,conflict,0.0,1.0,55.0,1.0,0.0
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,action,17.500000000000004,1.0,55.0,0.00010416803937430782,0.24137931034482762
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,conflict:action,0.11752136752136416,1.0,55.0,0.733045265315701,0.0021321961620468476
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,conflict,0.3122465531224655,1.0,55.0,0.5785729983879495,0.00564516129032258
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,action,28.05700930845751,1.0,55.0,2.1316418802410337e-06,0.3378042328042328
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,conflict:action,1.1818355457931502,1.0,55.0,0.28172401758727833,0.021035901271503493
scale,CZO尺度,,,diff,56,conflict,0.010035072070041244,1.0,55.0,0.9205694943992786,0.00018242257175248193
scale,CZO尺度,,,diff,56,action,1.981409515807151,1.0,55.0,0.16486889545987551,0.03477291159772891
scale,CZO尺度,,,diff,56,conflict:action,0.20391373977140578,1.0,55.0,0.6533558442876095,0.0036938275922364008
scale,CZO尺度,,,post,56,conflict,0.010035072070074516,1.0,55.0,0.9205694943991581,0.00018242257175308664
scale,CZO尺度,,,post,56,action,1.981409515807159,1.0,55.0,0.16486889545987546,0.03477291159772904
scale,CZO尺度,,,post,56,conflict:action,0.2039137397714058,1.0,55.0,0.6533558442876095,0.003693827592236401
scale,勇気尺度,,,diff,56,conflict,0.8606623278802266,1.0,55.0,0.35760689858615835,0.01540730617958798
scale,勇気尺度,,,diff,56,action,0.49475306494854016,1.0,55.0,0.48478177081892937,0.008915312486740929
scale,勇気尺度,,,diff,56,conflict:action,0.26937056171774454,1.0,55.0,0.6058365303005846,0.004873776541691317
scale,勇気尺度,,,post,56,conflict,0.8606623278802401,1.0,55.0,0.35760689858615313,0.01540730617958822
scale,勇気尺度,,,post,56,action,0.4947530649485403,1.0,55.0,0.48478177081892937,0.008915312486740932
scale,勇気尺度,,,post,56,conflict:action,0.2693705617177339,1.0,55.0,0.6058365303005886,0.004873776541691124
scale,葛藤尺度,,,post,56,conflict,21.489072938986045,1.0,55.0,2.2321657554674707e-05,0.2809430434086643
scale,葛藤尺度,,,post,56,action,0.6058137261291883,1.0,55.0,0.43970411747676186,0.010894791129448326
scale,葛藤尺度,,,post,56,conflict:action,0.21072349638623583,1.0,55.0,0.6480100227861523,0.0038167131861626216
