target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,葛藤なし,行動あり,3.267857142857143
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,葛藤なし,行動なし,2.482142857142857
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,葛藤あり,行動あり,3.1785714285714284
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,56,葛藤あり,行動なし,2.5714285714285716
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,葛藤なし,行動あり,3.392857142857143
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,葛藤なし,行動なし,2.607142857142857
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,葛藤あり,行動あり,3.357142857142857
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,56,葛藤あり,行動なし,2.642857142857143
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,葛藤なし,行動あり,3.6607142857142856
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,葛藤なし,行動なし,2.517857142857143
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,葛藤あり,行動あり,3.5892857142857144
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,56,葛藤あり,行動なし,2.7142857142857144
scale,CZO尺度,,,diff,56,葛藤なし,行動あり,0.07142857142857144
scale,CZO尺度,,,diff,56,葛藤なし,行動なし,0.0160714285714286
scale,CZO尺度,,,diff,56,葛藤あり,行動あり,0.05714285714285716
scale,CZO尺度,,,diff,56,葛藤あり,行動なし,0.02500000000000003
scale,CZO尺度,,,post,56,葛藤なし,行動あり,2.7410714285714284
scale,CZO尺度,,,post,56,葛藤なし,行動なし,2.685714285714286
scale,CZO尺度,,,post,56,葛藤あり,行動あり,2.726785714285714
scale,CZO尺度,,,post,56,葛藤あり,行動なし,2.694642857142857
scale,勇気尺度,,,diff,56,葛藤なし,行動あり,0.17559523809523808
scale,勇気尺度,,,diff,56,葛藤なし,行動なし,0.07440476190476186
scale,勇気尺度,,,diff,56,葛藤あり,行動あり,0.1994047619047619
scale,勇気尺度,,,diff,56,葛藤あり,行動なし,0.17857142857142858
scale,勇気尺度,,,post,56,葛藤なし,行動あり,2.869047619047619
scale,勇気尺度,,,post,56,葛藤なし,行動なし,2.767857142857143
scale,勇気尺度,,,post,56,葛藤あり,行動あり,2.892857142857143
scale,勇気尺度,,,post,56,葛藤あり,行動なし,2.8720238095238098
scale,葛藤尺度,,,post,56,葛藤なし,行動あり,4.053571428571429
scale,葛藤尺度,,,post,56,葛藤なし,行動なし,4.183035714285714
scale,葛藤尺度,,,post,56,葛藤あり,行動あり,4.973214285714286
scale,葛藤尺度,,,post,56,葛藤あり,行動なし,5.017857142857143
