target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,conflict,0.07469717362051337,1.0,74.0,0.7853779301045527,0.00100840336134529
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,action,26.501395186606242,1.0,74.0,2.0978841973215655e-06,0.2636918138041736
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,conflict:action,1.423076923076964,1.0,74.0,0.23670852933756018,0.01886792452830242
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,conflict,0.051966292134882595,1.0,74.0,0.8203051450614652,0.0007017543859656023
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,action,23.869512195121974,1.0,74.0,5.8029392065841e-06,0.24389119409866317
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,conflict:action,0.6173469387755363,1.0,74.0,0.4345435176543645,0.00827350427350462
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,conflict,0.8256624825661821,1.0,74.0,0.3664796594797788,0.011034482758619815
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,action,37.87680752794925,1.0,74.0,3.537456980981257e-08,0.3385581727337617
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,conflict:action,0.2381574977370752,1.0,74.0,0.6269829313331943,0.0032080200501249604
scale,CZO尺度,,,diff,75,conflict,0.09408773045138151,1.0,74.0,0.7599048464563245,0.001269841269841468
scale,CZO尺度,,,diff,75,action,2.809763657497091,1.0,74.0,0.09791245879630184,0.03658081373646879
scale,CZO尺度,,,diff,75,conflict:action,0.034636087058269066,1.0,74.0,0.8528695111528195,0.00046783625730989004
scale,CZO尺度,,,post,75,conflict,0.09408773045134391,1.0,74.0,0.759904846456355,0.001269841269840961
scale,CZO尺度,,,post,75,action,2.8097636574970823,1.0,74.0,0.09791245879630184,0.03658081373646868
scale,CZO尺度,,,post,75,conflict:action,0.03463608705824343,1.0,74.0,0.8528695111528712,0.0004678362573095439
scale,勇気尺度,,,diff,75,conflict,4.466745326957685,1.0,74.0,0.03793210209060993,0.05692532942898945
scale,勇気尺度,,,diff,75,action,1.3551554390282872,1.0,74.0,0.24811836478097743,0.017983579638751815
scale,勇気尺度,,,diff,75,conflict:action,0.6861116476723785,1.0,74.0,0.4101536991196495,0.009186602870813151
scale,勇気尺度,,,post,75,conflict,4.466745326957717,1.0,74.0,0.03793210209060939,0.05692532942898984
scale,勇気尺度,,,post,75,action,1.355155439028296,1.0,74.0,0.24811836478097918,0.01798357963875193
scale,勇気尺度,,,post,75,conflict:action,0.6861116476723786,1.0,74.0,0.4101536991196495,0.009186602870813153
scale,葛藤尺度,,,post,75,conflict,18.816879912817964,1.0,74.0,4.48335292192945e-05,0.20273122658822926
scale,葛藤尺度,,,post,75,action,3.539266779673244,1.0,74.0,0.0638654974268446,0.04564483166612888
scale,葛藤尺度,,,post,75,conflict:action,0.26098029280780644,1.0,74.0,0.6109682420425724,0.003514366384321518
