target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,葛藤あり,行動あり,3.493333333333333
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,葛藤あり,行動なし,2.8533333333333335
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,葛藤なし,行動あり,3.5733333333333333
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,75,葛藤なし,行動なし,2.7333333333333334
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,葛藤あり,行動あり,3.546666666666667
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,葛藤あり,行動なし,2.8533333333333335
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,葛藤なし,行動あり,3.64
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,75,葛藤なし,行動なし,2.8
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,葛藤あり,行動あり,3.8666666666666667
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,葛藤あり,行動なし,2.8933333333333335
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,葛藤なし,行動あり,3.84
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,75,葛藤なし,行動なし,2.76
scale,CZO尺度,,,diff,75,葛藤あり,行動あり,0.06800000000000002
scale,CZO尺度,,,diff,75,葛藤あり,行動なし,0.017333333333333336
scale,CZO尺度,,,diff,75,葛藤なし,行動あり,0.07066666666666667
scale,CZO尺度,,,diff,75,葛藤なし,行動なし,0.028000000000000014
scale,CZO尺度,,,post,75,葛藤あり,行動あり,2.8213333333333335
scale,CZO尺度,,,post,75,葛藤あり,行動なし,2.7706666666666666
scale,CZO尺度,,,post,75,葛藤なし,行動あり,2.8240000000000003
scale,CZO尺度,,,post,75,葛藤なし,行動なし,2.7813333333333334
scale,勇気尺度,,,diff,75,葛藤あり,行動あり,0.24222222222222223
scale,勇気尺度,,,diff,75,葛藤あり,行動なし,0.21333333333333335
scale,勇気尺度,,,diff,75,葛藤なし,行動あり,0.17555555555555552
scale,勇気尺度,,,diff,75,葛藤なし,行動なし,0.039999999999999994
scale,勇気尺度,,,post,75,葛藤あり,行動あり,3.217777777777778
scale,勇気尺度,,,post,75,葛藤あり,行動なし,3.1888888888888887
scale,勇気尺度,,,post,75,葛藤なし,行動あり,3.151111111111111
scale,勇気尺度,,,post,75,葛藤なし,行動なし,3.0155555555555553
scale,葛藤尺度,,,post,75,葛藤あり,行動あり,4.87
scale,葛藤尺度,,,post,75,葛藤あり,行動なし,5.003333333333333
scale,葛藤尺度,,,post,75,葛藤なし,行動あり,4.083333333333333
scale,葛藤尺度,,,post,75,葛藤なし,行動なし,4.293333333333333
