target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,conflict,0.23091423185672705,1.0,50.0,0.632942693155921,0.004597054132657612
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,action,33.72931126534973,1.0,50.0,4.3491102060794415e-07,0.4028375577873427
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,conflict:action,13.230108000881659,1.0,50.0,0.0006512770118133267,0.20923747276688479
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,conflict,3.649227331967983,1.0,50.0,0.06183891890697923,0.06802012840534456
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,action,30.67852310071525,1.0,50.0,1.1293605902645865e-06,0.38025637953755836
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,conflict:action,4.122956818736293,1.0,50.0,0.0476407102025977,0.0761775974757722
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,conflict,0.2482544608223532,1.0,50.0,0.6204915389297669,0.004940558900725848
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,action,52.4839037614368,1.0,50.0,2.48784173770057e-09,0.5121185067618953
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,conflict:action,6.9387755102040956,1.0,50.0,0.011197298657590296,0.12186379928315434
scale,CZO尺度,,,diff,51,conflict,0.4822335025380857,1.0,50.0,0.49062664441193926,0.009552538964303957
scale,CZO尺度,,,diff,51,action,1.8684315551416846,1.0,50.0,0.1777695813982762,0.036022518883289195
scale,CZO尺度,,,diff,51,conflict:action,0.6587202007528398,1.0,50.0,0.42085917825407637,0.013003095975232524
scale,CZO尺度,,,post,51,conflict,0.4822335025380373,1.0,50.0,0.490626644411962,0.009552538964303008
scale,CZO尺度,,,post,51,action,1.8684315551416582,1.0,50.0,0.1777695813982808,0.03602251888328871
scale,CZO尺度,,,post,51,conflict:action,0.6587202007528253,1.0,50.0,0.42085917825408237,0.013003095975232241
scale,勇気尺度,,,diff,51,conflict,5.288602402578385,1.0,50.0,0.02567770216232305,0.09565447800741932
scale,勇気尺度,,,diff,51,action,1.1979341747394825,1.0,50.0,0.2789796168046492,0.023398095920255522
scale,勇気尺度,,,diff,51,conflict:action,3.3583579586295143,1.0,50.0,0.07282289018859466,0.06293967968866958
scale,勇気尺度,,,post,51,conflict,5.288602402578389,1.0,50.0,0.025677702162322954,0.09565447800741939
scale,勇気尺度,,,post,51,action,1.197934174739493,1.0,50.0,0.27897961680464645,0.023398095920255716
scale,勇気尺度,,,post,51,conflict:action,3.3583579586294876,1.0,50.0,0.07282289018859572,0.06293967968866909
scale,葛藤尺度,,,post,51,conflict,40.28541410182863,1.0,50.0,6.302287565641625e-08,0.4462006903617081
scale,葛藤尺度,,,post,51,action,3.0665593068487285,1.0,50.0,0.08605131650812471,0.05778703852113059
scale,葛藤尺度,,,post,51,conflict:action,1.631410082114327,1.0,50.0,0.2074075011076571,0.031597240507662695
