target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,葛藤あり,行動あり,4.254901960784314
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,葛藤あり,行動なし,3.4313725490196076
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,葛藤なし,行動あり,4.803921568627451
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,51,葛藤なし,行動なし,3.019607843137255
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,葛藤あり,行動あり,4.1568627450980395
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,葛藤あり,行動なし,3.0588235294117645
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,葛藤なし,行動あり,4.686274509803922
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,51,葛藤なし,行動なし,3.0784313725490198
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,葛藤あり,行動あり,4.450980392156863
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,葛藤あり,行動なし,3.0588235294117645
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,葛藤なし,行動あり,4.862745098039215
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,51,葛藤なし,行動なし,2.803921568627451
scale,CZO尺度,,,diff,51,葛藤あり,行動あり,0.08823529411764706
scale,CZO尺度,,,diff,51,葛藤あり,行動なし,0.05686274509803918
scale,CZO尺度,,,diff,51,葛藤なし,行動あり,0.12745098039215685
scale,CZO尺度,,,diff,51,葛藤なし,行動なし,0.054901960784313704
scale,CZO尺度,,,post,51,葛藤あり,行動あり,3.496078431372549
scale,CZO尺度,,,post,51,葛藤あり,行動なし,3.464705882352941
scale,CZO尺度,,,post,51,葛藤なし,行動あり,3.535294117647059
scale,CZO尺度,,,post,51,葛藤なし,行動なし,3.4627450980392154
scale,勇気尺度,,,diff,51,葛藤あり,行動あり,-0.08496732026143793
scale,勇気尺度,,,diff,51,葛藤あり,行動なし,-0.08169934640522873
scale,勇気尺度,,,diff,51,葛藤なし,行動あり,0.13398692810457513
scale,勇気尺度,,,diff,51,葛藤なし,行動なし,-0.05228758169934639
scale,勇気尺度,,,post,51,葛藤あり,行動あり,4.803921568627451
scale,勇気尺度,,,post,51,葛藤あり,行動なし,4.80718954248366
scale,勇気尺度,,,post,51,葛藤なし,行動あり,5.022875816993465
scale,勇気尺度,,,post,51,葛藤なし,行動なし,4.836601307189542
scale,葛藤尺度,,,post,51,葛藤あり,行動あり,5.411764705882353
scale,葛藤尺度,,,post,51,葛藤あり,行動なし,5.519607843137255
scale,葛藤尺度,,,post,51,葛藤なし,行動あり,4.03921568627451
scale,葛藤尺度,,,post,51,葛藤なし,行動なし,4.4411764705882355
