participant_id,group,courage_pre,czo_pre,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,courage_diff_video1,courage_diff_video2,is_conflict_high_group
1,勇気事前4以下,2.8333333333333335,2.5,,,,,,False
2,勇気事前4超,4.666666666666667,3.1,0.6666666666666665,0.25,0.4166666666666665,0.33333333333333304,1.0,False
3,勇気事前4超,4.333333333333333,2.0,-4.440892098500626e-16,-0.08333333333333348,0.08333333333333304,-0.3333333333333339,0.33333333333333304,False
4,勇気事前4以下,3.6666666666666665,3.2,-0.583333333333333,-0.24999999999999956,-0.3333333333333335,-0.6666666666666665,-0.49999999999999956,False
5,勇気事前4以下,2.3333333333333335,3.1,0.5,0.3333333333333335,0.16666666666666652,0.6666666666666665,0.3333333333333335,False
6,勇気事前4超,4.666666666666667,3.2,0.9166666666666665,1.1666666666666665,-0.25,1.1666666666666665,0.6666666666666665,False
7,勇気事前4超,4.333333333333333,2.5,0.16666666666666607,0.16666666666666652,-4.440892098500626e-16,0.6666666666666661,-0.3333333333333339,False
8,勇気事前4以下,3.3333333333333335,3.2,-0.24999999999999956,-0.4166666666666663,0.16666666666666674,-0.16666666666666607,-0.33333333333333304,False
9,勇気事前4以下,4.0,3.3,-2.0,-1.6666666666666667,-0.33333333333333326,-1.8333333333333335,-2.166666666666667,False
10,勇気事前4以下,2.0,3.0,0.5,0.4166666666666665,0.08333333333333348,0.5,0.5,False
11,勇気事前4超,6.333333333333333,4.4,0.0,0.25,-0.25,0.0,0.0,False
12,勇気事前4以下,4.0,2.6,-0.49999999999999956,-0.583333333333333,0.08333333333333348,-0.833333333333333,-0.16666666666666607,True
13,勇気事前4以下,3.1666666666666665,2.0,0.41666666666666696,0.25,0.16666666666666696,0.666666666666667,0.16666666666666696,True
14,勇気事前4超,5.166666666666667,3.1,2.220446049250313e-16,-0.33333333333333326,0.3333333333333335,0.16666666666666696,-0.16666666666666652,False
15,勇気事前4以下,2.1666666666666665,3.0,0.08333333333333304,-0.25000000000000044,0.3333333333333335,-0.16666666666666696,0.33333333333333304,False
16,勇気事前4超,5.666666666666667,4.1,-0.16666666666666652,0.0,-0.16666666666666652,-0.16666666666666652,-0.16666666666666652,False
17,勇気事前4超,4.5,3.2,0.16666666666666607,0.25,-0.08333333333333393,0.16666666666666607,0.16666666666666607,False
18,勇気事前4以下,2.8333333333333335,2.6,0.25,0.33333333333333304,-0.08333333333333304,0.33333333333333304,0.16666666666666696,False
19,勇気事前4以下,2.8333333333333335,2.2,0.833333333333333,0.833333333333333,0.0,0.833333333333333,0.833333333333333,False
20,勇気事前4超,4.5,3.7,-0.41666666666666685,-0.16666666666666685,-0.25,0.16666666666666652,-1.0000000000000002,False
21,勇気事前4以下,3.5,3.0,2.220446049250313e-16,-0.16666666666666652,0.16666666666666674,-0.6666666666666665,0.666666666666667,True
22,勇気事前4超,4.5,4.0,0.41666666666666674,-0.08333333333333348,0.5000000000000002,0.3333333333333335,0.5,False
23,勇気事前4超,5.833333333333333,3.7,0.16666666666666652,0.5833333333333335,-0.41666666666666696,0.0,0.33333333333333304,False
24,勇気事前4以下,3.5,3.2,0.16666666666666696,0.3333333333333339,-0.16666666666666696,0.16666666666666696,0.16666666666666696,False
25,勇気事前4超,4.166666666666667,3.3,-0.5,0.0,-0.5,-1.1666666666666665,0.16666666666666652,False
26,勇気事前4以下,3.6666666666666665,2.7,-1.0833333333333335,-0.8333333333333339,-0.24999999999999956,0.33333333333333304,-2.5,True
27,勇気事前4以下,1.3333333333333333,2.1,0.3333333333333337,-0.4166666666666665,0.7500000000000002,0.16666666666666696,0.5000000000000004,True
28,勇気事前4超,5.333333333333333,4.2,0.33333333333333337,0.0,0.33333333333333337,0.5,0.16666666666666674,False
29,勇気事前4超,6.0,4.7,0.7500000000000004,1.333333333333334,-0.5833333333333335,0.666666666666667,0.8333333333333339,False
30,勇気事前4以下,1.8333333333333333,3.4,0.5833333333333335,0.75,-0.16666666666666652,0.666666666666667,0.5,False
31,勇気事前4以下,3.5,3.0,0.5833333333333333,0.5,0.08333333333333326,0.8333333333333333,0.33333333333333326,True
32,勇気事前4以下,3.5,2.8,-0.16666666666666652,-0.9166666666666667,0.7500000000000002,-0.16666666666666652,-0.16666666666666652,False
33,勇気事前4超,5.5,3.3,0.08333333333333326,0.08333333333333326,0.0,0.16666666666666652,0.0,False
34,勇気事前4超,5.166666666666667,3.3,0.0,0.08333333333333304,-0.08333333333333304,-0.16666666666666696,0.16666666666666696,False
35,勇気事前4超,5.166666666666667,3.4,0.583333333333333,1.2499999999999996,-0.6666666666666665,-0.16666666666666696,1.333333333333333,False
36,勇気事前4以下,2.6666666666666665,2.5,-0.16666666666666696,-0.16666666666666696,0.0,0.0,-0.3333333333333339,False
37,勇気事前4以下,3.5,3.4,-0.33333333333333326,-0.08333333333333326,-0.25,-0.16666666666666652,-0.5,False
38,勇気事前4以下,3.8333333333333335,3.1,0.41666666666666674,0.25,0.16666666666666674,0.3333333333333335,0.5,True
39,勇気事前4以下,1.5,2.0,-0.5833333333333335,-0.8333333333333335,0.25,-0.5,-0.666666666666667,True
40,勇気事前4以下,2.3333333333333335,2.6,0.25,0.08333333333333337,0.16666666666666663,0.16666666666666674,0.33333333333333326,True
41,勇気事前4以下,3.8333333333333335,2.9,0.6666666666666665,0.24999999999999978,0.41666666666666674,0.6666666666666665,0.6666666666666665,False
42,勇気事前4以下,2.8333333333333335,3.4,0.24999999999999978,0.5,-0.2500000000000002,0.0,0.49999999999999956,False
43,勇気事前4以下,3.5,2.3,0.24999999999999978,0.6666666666666665,-0.41666666666666674,0.33333333333333304,0.16666666666666652,False
44,勇気事前4以下,2.3333333333333335,2.4,0.08333333333333326,-0.16666666666666674,0.25,0.0,0.16666666666666652,False
45,勇気事前4以下,3.5,3.4,-0.16666666666666674,-0.8333333333333335,0.6666666666666667,-0.3333333333333335,0.0,False
46,勇気事前4以下,3.3333333333333335,3.0,-0.6666666666666667,0.8333333333333335,-1.5000000000000002,-1.5,0.16666666666666652,False
47,勇気事前4超,5.166666666666667,3.1,-0.6666666666666667,-0.41666666666666696,-0.24999999999999978,-0.5,-0.8333333333333335,False
48,勇気事前4超,4.5,3.0,0.24999999999999956,0.16666666666666652,0.08333333333333304,-0.16666666666666696,0.6666666666666661,False
49,勇気事前4以下,3.6666666666666665,3.2,0.0,-0.33333333333333326,0.33333333333333326,0.0,0.0,True
50,勇気事前4超,4.5,2.9,0.5000000000000004,-0.5833333333333333,1.0833333333333337,0.5000000000000004,0.5000000000000004,True
51,勇気事前4以下,2.0,3.0,-0.6666666666666665,-1.1666666666666667,0.5000000000000002,-0.6666666666666665,-0.6666666666666665,False
