target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,conflict,0.2689988715137761,1.0,103.0,0.6051166238389325,0.0026048366349368966
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,action,51.75195641925515,1.0,103.0,1.0454334281481104e-10,0.33441875383499753
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,conflict:action,8.693981189338613,1.0,103.0,0.0039506918295334,0.07783750831301256
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,conflict,4.942565156575605,1.0,103.0,0.028387912018239352,0.04578884288516017
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,action,48.440561482928246,1.0,103.0,3.2526006607188763e-10,0.3198651735611064
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,conflict:action,4.791650099403597,1.0,103.0,0.030856283325608122,0.04445288753799408
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,conflict,0.12620339576405276,1.0,103.0,0.7231278740593343,0.0012237762237762805
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,action,76.21813558591562,1.0,103.0,4.860175896677843e-14,0.4252813775611303
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,conflict:action,5.097754222543457,1.0,103.0,0.026066237579139027,0.04715874311365051
scale,CZO尺度,,,diff,104,conflict,0.010439894587467264,1.0,103.0,0.9188157879570614,0.00010134792743483676
scale,CZO尺度,,,diff,104,action,3.641025292542713,1.0,103.0,0.05915668665348596,0.034142819637700224
scale,CZO尺度,,,diff,104,conflict:action,0.1695298837568219,1.0,103.0,0.6813855169069933,0.0016432165964876898
scale,CZO尺度,,,post,104,conflict,0.010439894587467264,1.0,103.0,0.9188157879570614,0.00010134792743483676
scale,CZO尺度,,,post,104,action,3.6410252925427065,1.0,103.0,0.05915668665348596,0.03414281963770016
scale,CZO尺度,,,post,104,conflict:action,0.16952988375680964,1.0,103.0,0.6813855169070036,0.0016432165964875712
scale,勇気尺度,,,diff,104,conflict,4.231225961186894,1.0,103.0,0.04221375047251157,0.03945889756700549
scale,勇気尺度,,,diff,104,action,2.8639643713261034,1.0,103.0,0.09360703128636885,0.027053250729214384
scale,勇気尺度,,,diff,104,conflict:action,2.751850765960551,1.0,103.0,0.10018411640793712,0.026021774049616142
scale,勇気尺度,,,post,104,conflict,4.231225961186894,1.0,103.0,0.04221375047251157,0.03945889756700549
scale,勇気尺度,,,post,104,action,2.863964371326095,1.0,103.0,0.09360703128636894,0.027053250729214308
scale,勇気尺度,,,post,104,conflict:action,2.7518507659605635,1.0,103.0,0.10018411640793597,0.026021774049616253
scale,葛藤尺度,,,post,104,conflict,53.58070751981441,1.0,103.0,5.6468543530686135e-11,0.3421922685656154
scale,葛藤尺度,,,post,104,action,3.860288473392236,1.0,103.0,0.052135596484852595,0.03612463084781426
scale,葛藤尺度,,,post,104,conflict:action,1.5402455007895233,1.0,103.0,0.21740042993459602,0.01473351715802017
