target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,葛藤あり,行動あり,3.9134615384615383
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,葛藤あり,行動なし,3.1153846153846154
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,葛藤なし,行動あり,4.211538461538462
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,104,葛藤なし,行動なし,2.9038461538461537
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,葛藤あり,行動あり,3.826923076923077
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,葛藤あり,行動なし,2.923076923076923
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,葛藤なし,行動あり,4.211538461538462
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,104,葛藤なし,行動なし,2.9326923076923075
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,葛藤あり,行動あり,4.153846153846154
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,葛藤あり,行動なし,2.951923076923077
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,葛藤なし,行動あり,4.394230769230769
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,104,葛藤なし,行動なし,2.7788461538461537
scale,CZO尺度,,,diff,104,葛藤あり,行動あり,0.0778846153846154
scale,CZO尺度,,,diff,104,葛藤あり,行動なし,0.03653846153846153
scale,CZO尺度,,,diff,104,葛藤なし,行動あり,0.08750000000000001
scale,CZO尺度,,,diff,104,葛藤なし,行動なし,0.030769230769230778
scale,CZO尺度,,,post,104,葛藤あり,行動あり,3.164423076923077
scale,CZO尺度,,,post,104,葛藤あり,行動なし,3.123076923076923
scale,CZO尺度,,,post,104,葛藤なし,行動あり,3.1740384615384616
scale,CZO尺度,,,post,104,葛藤なし,行動なし,3.1173076923076923
scale,勇気尺度,,,diff,104,葛藤あり,行動あり,0.10416666666666666
scale,勇気尺度,,,diff,104,葛藤あり,行動なし,0.08333333333333333
scale,勇気尺度,,,diff,104,葛藤なし,行動あり,0.2756410256410256
scale,勇気尺度,,,diff,104,葛藤なし,行動なし,0.08173076923076925
scale,勇気尺度,,,post,104,葛藤あり,行動あり,3.974358974358974
scale,勇気尺度,,,post,104,葛藤あり,行動なし,3.9535256410256414
scale,勇気尺度,,,post,104,葛藤なし,行動あり,4.145833333333334
scale,勇気尺度,,,post,104,葛藤なし,行動なし,3.951923076923077
scale,葛藤尺度,,,post,104,葛藤あり,行動あり,5.211538461538462
scale,葛藤尺度,,,post,104,葛藤あり,行動なし,5.298076923076923
scale,葛藤尺度,,,post,104,葛藤なし,行動あり,4.038461538461538
scale,葛藤尺度,,,post,104,葛藤なし,行動なし,4.314903846153846
