variable,high_n,other_n,high_mean,other_mean,high_sd,other_sd,mean_diff_high_minus_other,test,statistic,p_value,effect_size_d
CZO尺度事前平均,22,104,2.6954545454545453,3.0865384615384617,0.5047180002142382,0.6022704118515079,-0.39108391608391635,Welch t,-3.1860910174469153,0.003034298978086677,-0.6663654274471518
勇気尺度事前平均,22,104,3.1818181818181817,3.8701923076923075,0.9703393435074359,1.193057210458396,-0.6883741258741258,Welch t,-2.8964087769387197,0.006396349266202117,-0.5942688254649509
年齢,22,104,23.363636363636363,24.26923076923077,3.566316687930941,3.6236300236324177,-0.9055944055944067,Welch t,-1.0790252338430344,0.2889345859964572,-0.25058038095444707
勇気尺度_動画1(葛藤あり行動あり)変化量,22,103,0.20454545454545459,0.08899676375404529,0.5748977783114625,0.6851265861045281,0.1155486907914093,Welch t,0.8257621971533606,0.41453088917581515,0.1730815805955776
主観勇気評定項目1_葛藤あり動画後平均,22,103,3.6136363636363638,3.4029126213592233,1.3708862112987368,1.2506042704667724,0.2107237422771404,Welch t,0.6643483746399101,0.5117262609864062,0.1656703941216763
主観勇気評定項目3_葛藤あり動画後平均,22,103,3.7045454545454546,3.4854368932038833,1.5170388677970408,1.1746011227004154,0.2191085613415713,Welch t,0.6378377017380767,0.5290257533113614,0.17673180663634988
勇気尺度_葛藤あり平均変化量-葛藤なし平均変化量,22,103,0.04924242424242429,0.014563106796116516,0.4014351658738836,0.48231625923211935,0.03467931744630777,Welch t,0.35424808009950143,0.7252630040329362,0.07386519370656071
勇気尺度_葛藤あり動画後の平均変化量,22,103,0.13257575757575765,0.08980582524271843,0.5076524785333358,0.641762080206525,0.04276993233303922,Welch t,0.34120253996864996,0.73488650737542,0.06888163531884842
CZO尺度_葛藤あり動画後の平均変化量,22,103,0.07045454545454545,0.04902912621359224,0.45634653992570656,0.29975321406020844,0.02142541924095321,Welch t,0.21071893787668203,0.8348143607258522,0.06458050664423912
勇気尺度_動画2(葛藤あり行動なし)変化量,22,103,0.060606060606060684,0.0906148867313916,0.8286303075727961,0.7112451488625913,-0.03000882612533092,Welch t,-0.15789368033907364,0.8756743165550632,-0.04096101583579789
主観勇気評定項目2_葛藤あり動画後平均,22,103,3.3863636363636362,3.3592233009708736,1.3534067964621563,1.239499969801539,0.027140335392762616,Welch t,0.0866190251604936,0.9315695210466506,0.021545474582428534
勇気尺度_葛藤なし動画後の平均変化量,22,103,0.08333333333333336,0.0752427184466019,0.6074928962939561,0.6968762548575312,0.008090614886731462,Welch t,0.055190616778881,0.9563104819618672,0.011855337238636049
葛藤尺度_葛藤あり動画後平均,22,103,5.159090909090909,5.155339805825243,1.2613660738637187,1.0507155036804547,0.003751103265666522,Welch t,0.013017237073754599,0.9897078124202033,0.003442746453862792
