participant_id,group,age,gender,courage_pre,czo_pre,courage_diff_conflict_action,courage_diff_conflict_noaction,courage_diff_no_conflict_action,courage_diff_no_conflict_noaction,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,czo_diff_conflict_mean,czo_diff_no_conflict_mean,conflict_post_conflict_mean,conflict_post_no_conflict_mean,subjective_item1_conflict_mean,subjective_item2_conflict_mean,subjective_item3_conflict_mean
1,その他群,25,1,2.8333333333333335,2.5,,,,,,,,,,,,,,
2,その他群,24,1,4.666666666666667,3.1,0.33333333333333304,1.0,0.5,0.0,0.6666666666666665,0.25,0.4166666666666665,-0.04999999999999982,-0.15000000000000013,4.75,3.75,3.0,3.5,3.0
3,その他群,24,2,4.333333333333333,2.0,-0.3333333333333339,0.33333333333333304,0.0,-0.16666666666666696,-4.440892098500626e-16,-0.08333333333333348,0.08333333333333304,-0.25,-0.20000000000000018,4.625,4.5,4.5,4.5,4.0
4,その他群,20,2,3.6666666666666665,3.2,-0.6666666666666665,-0.49999999999999956,-0.33333333333333304,-0.16666666666666607,-0.583333333333333,-0.24999999999999956,-0.3333333333333335,0.55,0.5,5.0,5.125,4.0,4.0,4.0
5,その他群,18,1,2.3333333333333335,3.1,0.6666666666666665,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.5,0.3333333333333335,0.16666666666666652,-0.20000000000000018,-0.20000000000000018,5.25,5.875,5.0,5.0,5.0
6,その他群,26,2,4.666666666666667,3.2,1.1666666666666665,0.6666666666666665,0.6666666666666665,1.6666666666666665,0.9166666666666665,1.1666666666666665,-0.25,0.6499999999999999,0.25,4.5,4.0,4.5,4.0,5.0
7,その他群,28,2,4.333333333333333,2.5,0.6666666666666661,-0.3333333333333339,-0.16666666666666696,0.5,0.16666666666666607,0.16666666666666652,-4.440892098500626e-16,0.04999999999999982,0.04999999999999982,5.875,5.25,3.5,3.5,3.5
8,その他群,29,1,3.3333333333333335,3.2,-0.16666666666666607,-0.33333333333333304,-0.49999999999999956,-0.33333333333333304,-0.24999999999999956,-0.4166666666666663,0.16666666666666674,0.2999999999999998,0.19999999999999996,5.875,2.75,2.5,3.0,3.0
9,その他群,29,1,4.0,3.3,-1.8333333333333335,-2.166666666666667,-2.0,-1.3333333333333335,-2.0,-1.6666666666666667,-0.33333333333333326,-0.10000000000000009,0.04999999999999982,6.625,2.75,2.5,1.5,1.5
10,その他群,25,2,2.0,3.0,0.5,0.5,0.33333333333333304,0.5,0.5,0.4166666666666665,0.08333333333333348,0.2500000000000002,0.15000000000000036,4.875,5.125,4.5,4.5,5.0
11,その他群,25,1,6.333333333333333,4.4,0.0,0.0,0.5,0.0,0.0,0.25,-0.25,-0.09999999999999987,-0.050000000000000044,4.875,4.5,2.5,3.0,3.0
12,葛藤あり高群,29,1,4.0,2.6,-0.833333333333333,-0.16666666666666607,-0.5,-0.6666666666666661,-0.49999999999999956,-0.583333333333333,0.08333333333333348,-0.050000000000000266,0.24999999999999956,6.375,3.75,3.0,2.5,3.5
13,葛藤あり高群,19,2,3.1666666666666665,2.0,0.666666666666667,0.16666666666666696,0.5,0.0,0.41666666666666696,0.25,0.16666666666666696,0.1499999999999999,0.2999999999999998,2.625,3.75,5.0,5.0,5.0
14,その他群,18,2,5.166666666666667,3.1,0.16666666666666696,-0.16666666666666652,-0.16666666666666652,-0.5,2.220446049250313e-16,-0.33333333333333326,0.3333333333333335,0.30000000000000004,0.55,6.375,3.75,3.0,4.0,4.5
15,その他群,26,1,2.1666666666666665,3.0,-0.16666666666666696,0.33333333333333304,0.16666666666666607,-0.666666666666667,0.08333333333333304,-0.25000000000000044,0.3333333333333335,0.25,0.34999999999999987,5.875,3.875,5.0,3.5,4.5
16,その他群,24,2,5.666666666666667,4.1,-0.16666666666666652,-0.16666666666666652,0.0,0.0,-0.16666666666666652,0.0,-0.16666666666666652,-0.050000000000000044,0.10000000000000009,2.125,2.625,2.5,2.0,2.0
17,その他群,28,1,4.5,3.2,0.16666666666666607,0.16666666666666607,0.0,0.5,0.16666666666666607,0.25,-0.08333333333333393,-0.04999999999999982,-0.1499999999999997,6.375,6.5,6.0,5.0,6.0
