target_kind,scale,item_no,item_text,score_type,n_participants,effect,F_value,num_df,den_df,p_value,partial_eta_sq
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,conflict,0.8564437194127144,1.0,21.0,0.36524931090768964,0.03918495297805599
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,action,7.789317507418398,1.0,21.0,0.01094985709525326,0.27056277056277056
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,conflict:action,3.6666666666666634,1.0,21.0,0.06923225162419432,0.14864864864864852
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,conflict,2.4193548387096797,1.0,21.0,0.13478695765111515,0.10330578512396703
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,action,5.150943396226411,1.0,21.0,0.03388940961992784,0.19696969696969685
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,conflict:action,0.09589041095891057,1.0,21.0,0.7598699971556466,0.00454545454545485
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,conflict,3.080000000000025,1.0,21.0,0.09384052396574252,0.12790697674418694
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,action,11.190735694822877,1.0,21.0,0.0030674995341281736,0.3476383951244284
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,conflict:action,0.012734990903578288,1.0,21.0,0.91122176492732,0.0006060606060606233
scale,CZO尺度,,,diff,22,conflict,2.439137706745959,1.0,21.0,0.13328599444645242,0.1040626040626041
scale,CZO尺度,,,diff,22,action,1.15344376634699,1.0,21.0,0.2950156148044915,0.05206611570247925
scale,CZO尺度,,,diff,22,conflict:action,0.004946996466429013,1.0,21.0,0.9445926132895371,0.00023551577955713122
scale,CZO尺度,,,post,22,conflict,2.439137706745956,1.0,21.0,0.13328599444645262,0.104062604062604
scale,CZO尺度,,,post,22,action,1.1534437663469923,1.0,21.0,0.29501561480449107,0.05206611570247935
scale,CZO尺度,,,post,22,conflict:action,0.004946996466438682,1.0,21.0,0.944592613289472,0.00023551577955759144
scale,勇気尺度,,,diff,22,conflict,58.196158323632126,1.0,21.0,1.749403498920668e-07,0.7348356227812934
scale,勇気尺度,,,diff,22,action,0.05002977963073401,1.0,21.0,0.8251730705787781,0.002376708259061268
scale,勇気尺度,,,diff,22,conflict:action,0.04666666666666798,1.0,21.0,0.8310530395123961,0.002217294900221792
scale,勇気尺度,,,post,22,conflict,58.19615832363214,1.0,21.0,1.7494034989206633e-07,0.7348356227812933
scale,勇気尺度,,,post,22,action,0.05002977963073295,1.0,21.0,0.8251730705787781,0.0023767082590612177
scale,勇気尺度,,,post,22,conflict:action,0.046666666666651535,1.0,21.0,0.8310530395124212,0.002217294900221012
scale,葛藤尺度,,,post,22,conflict,1.705839942321558,1.0,21.0,0.2056520386644089,0.07512780617915095
scale,葛藤尺度,,,post,22,action,5.369863013698641,1.0,21.0,0.03066928615802335,0.20363636363636398
scale,葛藤尺度,,,post,22,conflict:action,0.09130434782608958,1.0,21.0,0.7654978135179848,0.004329004329004453
