target_kind,scale,item_no,item_text,score_type,n_participants,conflict,action,mean_score
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,葛藤あり,行動あり,3.272727272727273
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,葛藤あり,行動なし,2.9545454545454546
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,葛藤なし,行動あり,3.409090909090909
item,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,post,22,葛藤なし,行動なし,2.590909090909091
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,葛藤あり,行動あり,3.6363636363636362
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,葛藤あり,行動なし,3.0
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,葛藤なし,行動あり,3.3636363636363638
item,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,post,22,葛藤なし,行動なし,2.8181818181818183
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,葛藤あり,行動あり,3.8636363636363638
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,葛藤あり,行動なし,3.0
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,葛藤なし,行動あり,3.590909090909091
item,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,post,22,葛藤なし,行動なし,2.772727272727273
scale,CZO尺度,,,diff,22,葛藤あり,行動あり,0.06818181818181819
scale,CZO尺度,,,diff,22,葛藤あり,行動なし,0.018181818181818167
scale,CZO尺度,,,diff,22,葛藤なし,行動あり,0.1227272727272727
scale,CZO尺度,,,diff,22,葛藤なし,行動なし,0.07727272727272722
scale,CZO尺度,,,post,22,葛藤あり,行動あり,2.7636363636363637
scale,CZO尺度,,,post,22,葛藤あり,行動なし,2.713636363636364
scale,CZO尺度,,,post,22,葛藤なし,行動あり,2.8181818181818183
scale,CZO尺度,,,post,22,葛藤なし,行動なし,2.772727272727273
scale,勇気尺度,,,diff,22,葛藤あり,行動あり,0.1363636363636364
scale,勇気尺度,,,diff,22,葛藤あり,行動なし,0.143939393939394
scale,勇気尺度,,,diff,22,葛藤なし,行動あり,-0.393939393939394
scale,勇気尺度,,,diff,22,葛藤なし,行動なし,-0.37121212121212127
scale,勇気尺度,,,post,22,葛藤あり,行動あり,3.3181818181818183
scale,勇気尺度,,,post,22,葛藤あり,行動なし,3.325757575757576
scale,勇気尺度,,,post,22,葛藤なし,行動あり,2.787878787878788
scale,勇気尺度,,,post,22,葛藤なし,行動なし,2.8106060606060606
scale,葛藤尺度,,,post,22,葛藤あり,行動あり,4.511363636363637
scale,葛藤尺度,,,post,22,葛藤あり,行動なし,4.806818181818182
scale,葛藤尺度,,,post,22,葛藤なし,行動あり,4.193181818181818
scale,葛藤尺度,,,post,22,葛藤なし,行動なし,4.534090909090909
