participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
12,1,葛藤あり,行動あり,4.666666666666667,post,scale,勇気尺度,,
13,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
21,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
26,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
27,1,葛藤あり,行動あり,1.8333333333333333,post,scale,勇気尺度,,
31,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
38,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
39,1,葛藤あり,行動あり,1.6666666666666667,post,scale,勇気尺度,,
40,1,葛藤あり,行動あり,3.0,post,scale,勇気尺度,,
49,1,葛藤あり,行動あり,4.166666666666667,post,scale,勇気尺度,,
50,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
54,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
70,1,葛藤あり,行動あり,2.6666666666666665,post,scale,勇気尺度,,
73,1,葛藤あり,行動あり,4.0,post,scale,勇気尺度,,
75,1,葛藤あり,行動あり,3.3333333333333335,post,scale,勇気尺度,,
78,1,葛藤あり,行動あり,4.333333333333333,post,scale,勇気尺度,,
80,1,葛藤あり,行動あり,3.8333333333333335,post,scale,勇気尺度,,
84,1,葛藤あり,行動あり,2.1666666666666665,post,scale,勇気尺度,,
85,1,葛藤あり,行動あり,1.1666666666666667,post,scale,勇気尺度,,
93,1,葛藤あり,行動あり,5.0,post,scale,勇気尺度,,
99,1,葛藤あり,行動あり,3.5,post,scale,勇気尺度,,
119,1,葛藤あり,行動あり,2.1666666666666665,post,scale,勇気尺度,,
12,1,葛藤あり,行動あり,0.666666666666667,diff,scale,勇気尺度,,
13,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
21,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
26,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
27,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
31,1,葛藤あり,行動あり,-0.16666666666666652,diff,scale,勇気尺度,,
38,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
39,1,葛藤あり,行動あり,0.16666666666666674,diff,scale,勇気尺度,,
40,1,葛藤あり,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
49,1,葛藤あり,行動あり,0.5000000000000004,diff,scale,勇気尺度,,
50,1,葛藤あり,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
54,1,葛藤あり,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
70,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
73,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
75,1,葛藤あり,行動あり,1.5000000000000002,diff,scale,勇気尺度,,
78,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
80,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
84,1,葛藤あり,行動あり,0.33333333333333326,diff,scale,勇気尺度,,
85,1,葛藤あり,行動あり,-1.3333333333333333,diff,scale,勇気尺度,,
93,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
99,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
119,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
12,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
13,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
21,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
26,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
27,2,葛藤あり,行動なし,1.5,post,scale,勇気尺度,,
31,2,葛藤あり,行動なし,3.3333333333333335,post,scale,勇気尺度,,
38,2,葛藤あり,行動なし,3.1666666666666665,post,scale,勇気尺度,,
39,2,葛藤あり,行動なし,1.8333333333333333,post,scale,勇気尺度,,
40,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
49,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
50,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
54,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
70,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
73,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
75,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
78,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
80,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
84,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
85,2,葛藤あり,行動なし,1.5,post,scale,勇気尺度,,
93,2,葛藤あり,行動なし,5.333333333333333,post,scale,勇気尺度,,
99,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
119,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
12,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
13,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
21,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
26,2,葛藤あり,行動なし,0.5000000000000004,diff,scale,勇気尺度,,
27,2,葛藤あり,行動なし,0.16666666666666674,diff,scale,勇気尺度,,
31,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
38,2,葛藤あり,行動なし,-0.666666666666667,diff,scale,勇気尺度,,
39,2,葛藤あり,行動なし,0.33333333333333326,diff,scale,勇気尺度,,
40,2,葛藤あり,行動なし,0.6666666666666665,diff,scale,勇気尺度,,
49,2,葛藤あり,行動なし,0.5000000000000004,diff,scale,勇気尺度,,
50,2,葛藤あり,行動なし,-0.6666666666666665,diff,scale,勇気尺度,,
54,2,葛藤あり,行動なし,0.6666666666666665,diff,scale,勇気尺度,,
70,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
73,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
75,2,葛藤あり,行動なし,2.333333333333334,diff,scale,勇気尺度,,
