excel_col_index,excel_col_letter,section,timing,video_no,scale,item_no_within_scale,item_text,reverse_scored,reverse_rule,note
1,A,基本属性,事前,,属性,1,あなたの性別（自認）を教えてください,,,
2,B,基本属性,事前,,属性,2,あなたの年齢を教えてください,,,
3,C,事前調査,事前,,勇気尺度,1,私は自分の恐怖に立ち向かうほうだ。,,,
4,D,事前調査,事前,,勇気尺度,2,たとえ強い恐れを感じても、私はやるべきことをやるまでは逃げ出さない。,,,
5,E,事前調査,事前,,勇気尺度,3,たとえ危険に思えることであっても、私はやる。,,,
6,F,事前調査,事前,,勇気尺度,4,私は何か心配や不安があったら、とにかく行動を起こすか、立ち向かう。,,,
7,G,事前調査,事前,,勇気尺度,5,私にとって恐ろしいことでも、立ち向かうべき重大な理由があれば、私は立ち向かう。,,,
8,H,事前調査,事前,,勇気尺度,6,たとえ私を脅かすものがあっても、私は引き下がらない。,,,
9,I,区切り,事前,,空列,,,,,空列
10,J,事前調査,事前,,CZO尺度,1,私は、不安を感じるようなことでも、あえて自分にやらせるようにしている。なぜなら、自分の恐怖に向き合うことが大切だと思っているからだ。,,,
11,K,事前調査,事前,,CZO尺度,2,私は、不安や不快を感じることであっても、あえてそうしたことに挑戦する人間でありたいと思っている。,,,
12,L,事前調査,事前,,CZO尺度,3,私は、自分のコンフォートゾーンの外に出るようなことはめったにしない。,yes,"1↔5, 2↔4, 3→3",
13,M,事前調査,事前,,CZO尺度,4,私は、恐怖を感じたとしても、それを理由にやりたいことをあきらめないようにしている。,,,
14,N,事前調査,事前,,CZO尺度,5,何かに対して不安や不快を感じるということは、おそらくそれはやるべきでないというサインだと思う。,yes,"1↔5, 2↔4, 3→3",
15,O,事前調査,事前,,CZO尺度,6,危険や恥をかくリスクがあっても、自分のコンフォートゾーンの外にあることにあえて挑戦することは、しばしば価値がある。,,,
16,P,事前調査,事前,,CZO尺度,7,私は、コンフォートゾーンを超えることだけを目的に、不快なことをする必要はないと思っている。,yes,"1↔5, 2↔4, 3→3",
17,Q,事前調査,事前,,CZO尺度,8,私には、自分のコンフォートゾーンの外に出るようなことをしたいという欲求がまったくない。,yes,"1↔5, 2↔4, 3→3",
18,R,事前調査,事前,,CZO尺度,9,意図的に自分のコンフォートゾーンを超えるようなことをすることで、私は人として成長できる。,,,
19,S,事前調査,事前,,CZO尺度,10,私は、自分のコンフォートゾーンの外に出ることを好む人の気持ちが理解できない。,yes,"1↔5, 2↔4, 3→3",
20,T,動画1後アンケート,事後,1,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,,,
21,U,動画1後アンケート,事後,1,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,,,
22,V,動画1後アンケート,事後,1,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,,,
23,W,動画1後アンケート,事後,1,勇気尺度,1,私は自分の恐怖に立ち向かうほうだ。,,,
24,X,動画1後アンケート,事後,1,勇気尺度,2,たとえ強い恐れを感じても、私はやるべきことをやるまでは逃げ出さない。,,,
25,Y,動画1後アンケート,事後,1,勇気尺度,3,たとえ危険に思えることであっても、私はやる。,,,
26,Z,動画1後アンケート,事後,1,勇気尺度,4,私は何か心配や不安があったら、とにかく行動を起こすか、立ち向かう。,,,
27,AA,動画1後アンケート,事後,1,勇気尺度,5,私にとって恐ろしいことでも、立ち向かうべき重大な理由があれば、私は立ち向かう。,,,
28,AB,動画1後アンケート,事後,1,勇気尺度,6,たとえ私を脅かすものがあっても、私は引き下がらない。,,,
29,AC,動画1後アンケート,事後,1,CZO尺度,1,私は、不安を感じるようなことでも、あえて自分にやらせるようにしている。なぜなら、自分の恐怖に向き合うことが大切だと思っているからだ。,,,
30,AD,動画1後アンケート,事後,1,CZO尺度,2,私は、不安や不快を感じることであっても、あえてそうしたことに挑戦する人間でありたいと思っている。,,,
31,AE,動画1後アンケート,事後,1,CZO尺度,3,私は、自分のコンフォートゾーンの外に出るようなことはめったにしない。,yes,"1↔5, 2↔4, 3→3",
32,AF,動画1後アンケート,事後,1,CZO尺度,4,私は、恐怖を感じたとしても、それを理由にやりたいことをあきらめないようにしている。,,,
33,AG,動画1後アンケート,事後,1,CZO尺度,5,何かに対して不安や不快を感じるということは、おそらくそれはやるべきでないというサインだと思う。,yes,"1↔5, 2↔4, 3→3",
34,AH,動画1後アンケート,事後,1,CZO尺度,6,危険や恥をかくリスクがあっても、自分のコンフォートゾーンの外にあることにあえて挑戦することは、しばしば価値がある。,,,
35,AI,動画1後アンケート,事後,1,CZO尺度,7,私は、コンフォートゾーンを超えることだけを目的に、不快なことをする必要はないと思っている。,yes,"1↔5, 2↔4, 3→3",
36,AJ,動画1後アンケート,事後,1,CZO尺度,8,私には、自分のコンフォートゾーンの外に出るようなことをしたいという欲求がまったくない。,yes,"1↔5, 2↔4, 3→3",
37,AK,動画1後アンケート,事後,1,CZO尺度,9,意図的に自分のコンフォートゾーンを超えるようなことをすることで、私は人として成長できる。,,,
38,AL,動画1後アンケート,事後,1,CZO尺度,10,私は、自分のコンフォートゾーンの外に出ることを好む人の気持ちが理解できない。,yes,"1↔5, 2↔4, 3→3",
39,AM,動画1後アンケート,事後,1,葛藤尺度,1,このロボットは、目の前のことをやりたいけれど、怖くてためらっているように見えた。,,,
40,AN,動画1後アンケート,事後,1,葛藤尺度,2,このロボットは、自分の行動に迷いや揺れがあるように見えた。,,,
41,AO,動画1後アンケート,事後,1,葛藤尺度,3,このロボットは、やりたいという気持ちとやりたくない気持ちが混在しているように見えた。,,,
42,AP,動画1後アンケート,事後,1,葛藤尺度,4,このロボットは、自分の行動を決めかねているように見えた。,,,
43,AQ,動画1後アンケート,事後,1,葛藤確認項目,5,このロボットは、葛藤しているように見えた。,,,尺度得点には含めず、相関確認用
44,AR,動画2後アンケート,事後,2,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,,,
45,AS,動画2後アンケート,事後,2,主観の勇気評定,2,このロボットを見た後に、難しいことにも一歩踏み出せそうだと感じた。,,,
46,AT,動画2後アンケート,事後,2,主観の勇気評定,3,このロボットから勇気をもらったと感じた。,,,
47,AU,動画2後アンケート,事後,2,勇気尺度,1,私は自分の恐怖に立ち向かうほうだ。,,,
48,AV,動画2後アンケート,事後,2,勇気尺度,2,たとえ強い恐れを感じても、私はやるべきことをやるまでは逃げ出さない。,,,
49,AW,動画2後アンケート,事後,2,勇気尺度,3,たとえ危険に思えることであっても、私はやる。,,,
50,AX,動画2後アンケート,事後,2,勇気尺度,4,私は何か心配や不安があったら、とにかく行動を起こすか、立ち向かう。,,,
51,AY,動画2後アンケート,事後,2,勇気尺度,5,私にとって恐ろしいことでも、立ち向かうべき重大な理由があれば、私は立ち向かう。,,,
52,AZ,動画2後アンケート,事後,2,勇気尺度,6,たとえ私を脅かすものがあっても、私は引き下がらない。,,,
53,BA,動画2後アンケート,事後,2,CZO尺度,1,私は、不安を感じるようなことでも、あえて自分にやらせるようにしている。なぜなら、自分の恐怖に向き合うことが大切だと思っているからだ。,,,
54,BB,動画2後アンケート,事後,2,CZO尺度,2,私は、不安や不快を感じることであっても、あえてそうしたことに挑戦する人間でありたいと思っている。,,,
55,BC,動画2後アンケート,事後,2,CZO尺度,3,私は、自分のコンフォートゾーンの外に出るようなことはめったにしない。,yes,"1↔5, 2↔4, 3→3",
56,BD,動画2後アンケート,事後,2,CZO尺度,4,私は、恐怖を感じたとしても、それを理由にやりたいことをあきらめないようにしている。,,,
57,BE,動画2後アンケート,事後,2,CZO尺度,5,何かに対して不安や不快を感じるということは、おそらくそれはやるべきでないというサインだと思う。,yes,"1↔5, 2↔4, 3→3",
58,BF,動画2後アンケート,事後,2,CZO尺度,6,危険や恥をかくリスクがあっても、自分のコンフォートゾーンの外にあることにあえて挑戦することは、しばしば価値がある。,,,
59,BG,動画2後アンケート,事後,2,CZO尺度,7,私は、コンフォートゾーンを超えることだけを目的に、不快なことをする必要はないと思っている。,yes,"1↔5, 2↔4, 3→3",
60,BH,動画2後アンケート,事後,2,CZO尺度,8,私には、自分のコンフォートゾーンの外に出るようなことをしたいという欲求がまったくない。,yes,"1↔5, 2↔4, 3→3",
61,BI,動画2後アンケート,事後,2,CZO尺度,9,意図的に自分のコンフォートゾーンを超えるようなことをすることで、私は人として成長できる。,,,
62,BJ,動画2後アンケート,事後,2,CZO尺度,10,私は、自分のコンフォートゾーンの外に出ることを好む人の気持ちが理解できない。,yes,"1↔5, 2↔4, 3→3",
63,BK,動画2後アンケート,事後,2,葛藤尺度,1,このロボットは、目の前のことをやりたいけれど、怖くてためらっているように見えた。,,,
64,BL,動画2後アンケート,事後,2,葛藤尺度,2,このロボットは、自分の行動に迷いや揺れがあるように見えた。,,,
65,BM,動画2後アンケート,事後,2,葛藤尺度,3,このロボットは、やりたいという気持ちとやりたくない気持ちが混在しているように見えた。,,,
66,BN,動画2後アンケート,事後,2,葛藤尺度,4,このロボットは、自分の行動を決めかねているように見えた。,,,
67,BO,動画2後アンケート,事後,2,葛藤確認項目,5,このロボットは、葛藤しているように見えた。,,,尺度得点には含めず、相関確認用
68,BP,動画3後アンケート,事後,3,主観の勇気評定,1,このロボットを見て、自分も挑戦しようと思った。,,,
