participant_id,video_no,conflict,action,pre_score,post_score,diff_score
1,1,葛藤あり,成功あり,2.0,2.6,0.6000000000000001
2,1,葛藤あり,成功あり,3.2,3.2,0.0
3,1,葛藤あり,成功あり,3.2,3.3,0.09999999999999964
4,1,葛藤あり,成功あり,2.5,2.8,0.2999999999999998
5,1,葛藤あり,成功あり,3.0,3.1,0.10000000000000009
6,1,葛藤あり,成功あり,2.0,2.4,0.3999999999999999
7,1,葛藤あり,成功あり,3.1,3.1,0.0
8,1,葛藤あり,成功あり,4.1,4.0,-0.09999999999999964
9,1,葛藤あり,成功あり,2.6,3.4,0.7999999999999998
10,1,葛藤あり,成功あり,2.2,2.4,0.19999999999999973
11,1,葛藤あり,成功あり,4.0,3.9,-0.10000000000000009
12,1,葛藤あり,成功あり,3.3,3.9,0.6000000000000001
13,1,葛藤あり,成功あり,2.7,3.0,0.2999999999999998
14,1,葛藤あり,成功あり,4.2,4.5,0.2999999999999998
15,1,葛藤あり,成功あり,3.4,3.1,-0.2999999999999998
16,1,葛藤あり,成功あり,3.0,3.0,0.0
17,1,葛藤あり,成功あり,2.8,2.8,0.0
18,1,葛藤あり,成功あり,3.3,3.1,-0.19999999999999973
19,1,葛藤あり,成功あり,3.4,3.4,0.0
20,1,葛藤あり,成功あり,2.5,2.7,0.20000000000000018
21,1,葛藤あり,成功あり,3.4,3.2,-0.19999999999999973
22,1,葛藤あり,成功あり,3.1,3.6,0.5
23,1,葛藤あり,成功あり,2.6,3.0,0.3999999999999999
24,1,葛藤あり,成功あり,2.9,3.5,0.6000000000000001
25,1,葛藤あり,成功あり,3.4,3.9,0.5
26,1,葛藤あり,成功あり,2.3,2.5,0.20000000000000018
27,1,葛藤あり,成功あり,2.4,2.3,-0.10000000000000009
28,1,葛藤あり,成功あり,3.0,2.9,-0.10000000000000009
29,1,葛藤あり,成功あり,3.2,2.8,-0.40000000000000036
30,1,葛藤あり,成功あり,2.9,3.0,0.10000000000000009
31,1,葛藤あり,成功あり,3.8,4.0,0.20000000000000018
32,1,葛藤あり,成功あり,2.3,2.5,0.20000000000000018
33,1,葛藤あり,成功あり,1.8,1.9,0.09999999999999987
34,1,葛藤あり,成功あり,3.6,3.7,0.10000000000000009
35,1,葛藤あり,成功あり,3.2,3.2,0.0
36,1,葛藤あり,成功あり,2.6,2.6,0.0
37,1,葛藤あり,成功あり,4.0,4.1,0.09999999999999964
38,1,葛藤あり,成功あり,3.1,3.0,-0.10000000000000009
39,1,葛藤あり,成功あり,3.2,2.8,-0.40000000000000036
40,1,葛藤あり,成功あり,3.8,4.8,1.0
41,1,葛藤あり,成功あり,3.2,3.1,-0.10000000000000009
42,1,葛藤あり,成功あり,3.8,4.1,0.2999999999999998
43,1,葛藤あり,成功あり,2.6,1.8,-0.8
44,1,葛藤あり,成功あり,2.9,2.7,-0.19999999999999973
45,1,葛藤あり,成功あり,3.5,3.6,0.10000000000000009
46,1,葛藤あり,成功あり,3.7,4.6,0.8999999999999995
47,1,葛藤あり,成功あり,3.3,3.1,-0.19999999999999973
48,1,葛藤あり,成功あり,3.3,3.2,-0.09999999999999964
49,1,葛藤あり,成功あり,2.3,2.3,0.0
50,1,葛藤あり,成功あり,2.3,2.1,-0.19999999999999973
51,1,葛藤あり,成功あり,2.0,1.4,-0.6000000000000001
52,1,葛藤あり,成功あり,3.2,3.0,-0.20000000000000018
53,1,葛藤あり,成功あり,3.0,2.8,-0.20000000000000018
54,1,葛藤あり,成功あり,3.6,2.7,-0.8999999999999999
55,1,葛藤あり,成功あり,4.0,3.8,-0.20000000000000018
56,1,葛藤あり,成功あり,2.1,2.0,-0.10000000000000009
57,1,葛藤あり,成功あり,2.8,3.1,0.30000000000000027
58,1,葛藤あり,成功あり,3.3,3.5,0.20000000000000018
59,1,葛藤あり,成功あり,2.5,3.0,0.5
60,1,葛藤あり,成功あり,3.9,3.6,-0.2999999999999998
61,1,葛藤あり,成功あり,3.0,2.9,-0.10000000000000009
62,1,葛藤あり,成功あり,3.5,3.8,0.2999999999999998
63,1,葛藤あり,成功あり,3.0,3.2,0.20000000000000018
64,1,葛藤あり,成功あり,2.0,1.8,-0.19999999999999996
65,1,葛藤あり,成功あり,3.7,4.0,0.2999999999999998
66,1,葛藤あり,成功あり,2.6,2.2,-0.3999999999999999
67,1,葛藤あり,成功あり,3.0,2.8,-0.20000000000000018
68,1,葛藤あり,成功あり,1.9,1.6,-0.2999999999999998
