participant_id,target_name,item_no,item_text,video_no,conflict,action,score
1,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
2,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
3,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
4,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
5,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
6,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
7,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
8,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
9,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
10,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
11,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
12,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
13,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
14,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
15,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
16,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
17,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
18,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
19,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
20,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
21,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
22,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
23,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
24,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
25,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
26,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
27,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
28,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
29,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
30,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
31,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
32,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
33,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
34,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
35,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
36,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
37,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
38,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
39,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
40,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
41,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
42,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
43,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
44,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
45,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
46,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
47,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
48,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
49,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
50,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
51,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
52,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
53,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
54,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
55,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
56,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
57,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
58,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
59,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
60,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
61,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
62,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
63,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
64,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
65,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
66,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
67,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
68,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
69,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
70,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
71,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
1,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
2,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
3,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
4,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
5,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
6,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
7,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
8,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,7
9,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
10,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
11,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
12,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
13,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
14,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
15,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
16,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
17,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
18,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
19,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
20,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
21,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
22,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
23,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
24,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
25,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
26,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
27,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
28,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
29,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
30,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
31,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
32,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
33,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
34,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
35,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
36,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
37,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
38,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
39,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
40,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,6
41,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
42,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
43,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
44,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
45,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
46,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
47,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
48,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
49,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
50,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
51,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
52,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
53,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
