participant_id,video_no,conflict,action,scale_score,item5_score
1,1,葛藤あり,成功あり,5.0,6
2,1,葛藤あり,成功あり,5.0,7
3,1,葛藤あり,成功あり,5.5,5
4,1,葛藤あり,成功あり,6.0,6
5,1,葛藤あり,成功あり,5.0,4
6,1,葛藤あり,成功あり,6.75,7
7,1,葛藤あり,成功あり,6.25,7
8,1,葛藤あり,成功あり,6.0,7
9,1,葛藤あり,成功あり,3.75,3
10,1,葛藤あり,成功あり,5.0,6
11,1,葛藤あり,成功あり,6.5,6
12,1,葛藤あり,成功あり,7.0,7
13,1,葛藤あり,成功あり,3.0,4
14,1,葛藤あり,成功あり,6.5,7
15,1,葛藤あり,成功あり,6.0,6
16,1,葛藤あり,成功あり,2.5,4
17,1,葛藤あり,成功あり,6.25,7
18,1,葛藤あり,成功あり,6.75,7
19,1,葛藤あり,成功あり,6.75,7
20,1,葛藤あり,成功あり,4.0,6
21,1,葛藤あり,成功あり,6.5,6
22,1,葛藤あり,成功あり,5.75,6
23,1,葛藤あり,成功あり,6.0,6
24,1,葛藤あり,成功あり,6.0,6
25,1,葛藤あり,成功あり,5.25,7
26,1,葛藤あり,成功あり,5.0,5
27,1,葛藤あり,成功あり,5.0,5
28,1,葛藤あり,成功あり,3.5,5
29,1,葛藤あり,成功あり,3.0,2
30,1,葛藤あり,成功あり,5.0,6
31,1,葛藤あり,成功あり,5.75,5
32,1,葛藤あり,成功あり,5.0,6
33,1,葛藤あり,成功あり,6.5,6
34,1,葛藤あり,成功あり,6.0,6
35,1,葛藤あり,成功あり,5.0,5
36,1,葛藤あり,成功あり,4.75,5
37,1,葛藤あり,成功あり,6.0,7
38,1,葛藤あり,成功あり,2.75,2
39,1,葛藤あり,成功あり,4.25,6
40,1,葛藤あり,成功あり,6.5,7
41,1,葛藤あり,成功あり,5.0,5
42,1,葛藤あり,成功あり,4.25,6
43,1,葛藤あり,成功あり,5.0,5
44,1,葛藤あり,成功あり,3.25,3
45,1,葛藤あり,成功あり,5.25,6
46,1,葛藤あり,成功あり,5.75,7
47,1,葛藤あり,成功あり,6.0,6
48,1,葛藤あり,成功あり,5.0,7
49,1,葛藤あり,成功あり,5.75,6
50,1,葛藤あり,成功あり,3.5,5
51,1,葛藤あり,成功あり,6.25,7
52,1,葛藤あり,成功あり,4.0,4
53,1,葛藤あり,成功あり,3.0,3
54,1,葛藤あり,成功あり,5.75,7
55,1,葛藤あり,成功あり,5.25,5
56,1,葛藤あり,成功あり,4.75,5
57,1,葛藤あり,成功あり,6.0,6
58,1,葛藤あり,成功あり,5.0,5
59,1,葛藤あり,成功あり,5.0,5
60,1,葛藤あり,成功あり,4.5,5
61,1,葛藤あり,成功あり,4.75,4
62,1,葛藤あり,成功あり,5.0,5
63,1,葛藤あり,成功あり,4.25,5
64,1,葛藤あり,成功あり,6.0,6
65,1,葛藤あり,成功あり,5.0,5
66,1,葛藤あり,成功あり,5.5,6
67,1,葛藤あり,成功あり,4.75,5
68,1,葛藤あり,成功あり,5.5,5
69,1,葛藤あり,成功あり,4.5,5
70,1,葛藤あり,成功あり,5.5,7
71,1,葛藤あり,成功あり,5.0,5
1,2,葛藤あり,成功なし,5.0,5
2,2,葛藤あり,成功なし,5.5,6
3,2,葛藤あり,成功なし,6.25,6
4,2,葛藤あり,成功なし,5.75,5
5,2,葛藤あり,成功なし,4.75,5
6,2,葛藤あり,成功なし,6.0,6
7,2,葛藤あり,成功なし,5.5,5
8,2,葛藤あり,成功なし,6.75,7
9,2,葛藤あり,成功なし,3.5,4
10,2,葛藤あり,成功なし,5.5,6
11,2,葛藤あり,成功なし,6.0,5
12,2,葛藤あり,成功なし,6.75,7
13,2,葛藤あり,成功なし,3.5,3
14,2,葛藤あり,成功なし,6.5,6
15,2,葛藤あり,成功なし,6.0,6
16,2,葛藤あり,成功なし,3.0,3
17,2,葛藤あり,成功なし,6.0,7
18,2,葛藤あり,成功なし,5.25,5
19,2,葛藤あり,成功なし,6.0,6
20,2,葛藤あり,成功なし,1.75,1
21,2,葛藤あり,成功なし,6.5,7
22,2,葛藤あり,成功なし,6.25,6
23,2,葛藤あり,成功なし,6.0,6
24,2,葛藤あり,成功なし,6.0,6
25,2,葛藤あり,成功なし,5.25,5
26,2,葛藤あり,成功なし,5.5,5
27,2,葛藤あり,成功なし,3.0,2
28,2,葛藤あり,成功なし,3.0,5
29,2,葛藤あり,成功なし,4.5,3
30,2,葛藤あり,成功なし,5.25,6
31,2,葛藤あり,成功なし,6.0,6
32,2,葛藤あり,成功なし,5.5,6
33,2,葛藤あり,成功なし,5.5,6
34,2,葛藤あり,成功なし,6.0,6
35,2,葛藤あり,成功なし,4.0,3
36,2,葛藤あり,成功なし,5.0,5
37,2,葛藤あり,成功なし,6.5,6
38,2,葛藤あり,成功なし,3.5,3
39,2,葛藤あり,成功なし,4.0,4
40,2,葛藤あり,成功なし,6.5,7
41,2,葛藤あり,成功なし,5.0,5
42,2,葛藤あり,成功なし,6.75,7
43,2,葛藤あり,成功なし,4.75,5
44,2,葛藤あり,成功なし,2.75,2
45,2,葛藤あり,成功なし,5.25,5
46,2,葛藤あり,成功なし,5.75,1
47,2,葛藤あり,成功なし,6.0,6
48,2,葛藤あり,成功なし,5.5,6
49,2,葛藤あり,成功なし,6.5,6
50,2,葛藤あり,成功なし,2.75,3
51,2,葛藤あり,成功なし,6.25,6
52,2,葛藤あり,成功なし,4.0,4
53,2,葛藤あり,成功なし,3.75,6
54,2,葛藤あり,成功なし,5.75,6
55,2,葛藤あり,成功なし,6.0,6
56,2,葛藤あり,成功なし,5.5,6
57,2,葛藤あり,成功なし,6.0,6
58,2,葛藤あり,成功なし,5.0,5
59,2,葛藤あり,成功なし,4.5,4
60,2,葛藤あり,成功なし,4.75,4
61,2,葛藤あり,成功なし,4.5,4
62,2,葛藤あり,成功なし,6.0,6
63,2,葛藤あり,成功なし,4.25,5
64,2,葛藤あり,成功なし,6.0,6
65,2,葛藤あり,成功なし,6.0,5
66,2,葛藤あり,成功なし,5.75,6
67,2,葛藤あり,成功なし,5.0,5
68,2,葛藤あり,成功なし,6.25,6
69,2,葛藤あり,成功なし,4.75,5
70,2,葛藤あり,成功なし,4.25,7
71,2,葛藤あり,成功なし,4.0,4
1,3,葛藤なし,成功あり,5.0,5
2,3,葛藤なし,成功あり,6.0,5
3,3,葛藤なし,成功あり,4.25,6
4,3,葛藤なし,成功あり,2.75,2
5,3,葛藤なし,成功あり,4.25,4
6,3,葛藤なし,成功あり,3.5,3
