section,timing,video_no,scale,n_items,n_valid,cronbach_alpha,item_columns,item_numbers,reverse_scored_columns
事前調査,事前,,CZO尺度,10,71,0.799,"J, K, L, M, N, O, P, Q, R, S","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","L, N, P, Q, S"
事前調査,事前,,勇気尺度,6,71,0.896,"C, D, E, F, G, H","1, 2, 3, 4, 5, 6",
動画1後アンケート,事後,1,CZO尺度,10,71,0.879,"AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","AE, AG, AI, AJ, AL"
動画1後アンケート,事後,1,主観の勇気評定,3,71,0.926,"T, U, V","1, 2, 3",
動画1後アンケート,事後,1,勇気尺度,6,71,0.914,"W, X, Y, Z, AA, AB","1, 2, 3, 4, 5, 6",
動画1後アンケート,事後,1,葛藤尺度,4,71,0.884,"AM, AN, AO, AP","1, 2, 3, 4",
動画2後アンケート,事後,2,CZO尺度,10,71,0.877,"BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","BC, BE, BG, BH, BJ"
動画2後アンケート,事後,2,主観の勇気評定,3,71,0.932,"AR, AS, AT","1, 2, 3",
動画2後アンケート,事後,2,勇気尺度,6,71,0.927,"AU, AV, AW, AX, AY, AZ","1, 2, 3, 4, 5, 6",
動画2後アンケート,事後,2,葛藤尺度,4,71,0.919,"BK, BL, BM, BN","1, 2, 3, 4",
動画3後アンケート,事後,3,CZO尺度,10,71,0.870,"BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","CA, CC, CE, CF, CH"
動画3後アンケート,事後,3,主観の勇気評定,3,71,0.925,"BP, BQ, BR","1, 2, 3",
動画3後アンケート,事後,3,勇気尺度,6,71,0.947,"BS, BT, BU, BV, BW, BX","1, 2, 3, 4, 5, 6",
動画3後アンケート,事後,3,葛藤尺度,4,71,0.894,"CI, CJ, CK, CL","1, 2, 3, 4",
動画4後アンケート,事後,4,CZO尺度,10,71,0.867,"CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","CY, DA, DC, DD, DF"
動画4後アンケート,事後,4,主観の勇気評定,3,71,0.955,"CN, CO, CP","1, 2, 3",
動画4後アンケート,事後,4,勇気尺度,6,71,0.954,"CQ, CR, CS, CT, CU, CV","1, 2, 3, 4, 5, 6",
動画4後アンケート,事後,4,葛藤尺度,4,71,0.868,"DG, DH, DI, DJ","1, 2, 3, 4",
