participant_id,video_no,conflict,action,pre_score,post_score,diff_score
1,1,葛藤あり,成功あり,2.5,2.2,-0.2999999999999998
2,1,葛藤あり,成功あり,3.1,3.1,0.0
3,1,葛藤あり,成功あり,3.1,3.7,0.6000000000000001
4,1,葛藤あり,成功あり,3.2,3.2,0.0
5,1,葛藤あり,成功あり,3.3,3.7,0.40000000000000036
6,1,葛藤あり,成功あり,4.4,4.3,-0.10000000000000053
7,1,葛藤あり,成功あり,2.6,2.7,0.10000000000000009
8,1,葛藤あり,成功あり,3.0,2.9,-0.10000000000000009
9,1,葛藤あり,成功あり,3.2,3.1,-0.10000000000000009
10,1,葛藤あり,成功あり,3.7,2.7,-1.0
11,1,葛藤あり,成功あり,3.0,3.1,0.10000000000000009
12,1,葛藤あり,成功あり,3.7,3.7,0.0
13,1,葛藤あり,成功あり,3.2,3.1,-0.10000000000000009
14,1,葛藤あり,成功あり,2.1,2.5,0.3999999999999999
15,1,葛藤あり,成功あり,4.7,4.8,0.09999999999999964
16,1,葛藤あり,成功あり,3.3,3.7,0.40000000000000036
17,1,葛藤あり,成功あり,2.0,2.6,0.6000000000000001
18,1,葛藤あり,成功あり,3.4,3.4,0.0
19,1,葛藤あり,成功あり,3.1,3.7,0.6000000000000001
20,1,葛藤あり,成功あり,3.0,3.3,0.2999999999999998
21,1,葛藤あり,成功あり,3.0,3.0,0.0
22,1,葛藤あり,成功あり,3.0,3.0,0.0
23,1,葛藤あり,成功あり,1.7,2.2,0.5000000000000002
24,1,葛藤あり,成功あり,3.1,3.0,-0.10000000000000009
25,1,葛藤あり,成功あり,2.3,2.3,0.0
26,1,葛藤あり,成功あり,2.6,3.2,0.6000000000000001
27,1,葛藤あり,成功あり,3.6,3.5,-0.10000000000000009
28,1,葛藤あり,成功あり,3.0,2.9,-0.10000000000000009
29,1,葛藤あり,成功あり,3.9,3.7,-0.19999999999999973
30,1,葛藤あり,成功あり,3.4,3.9,0.5
31,1,葛藤あり,成功あり,3.1,2.8,-0.30000000000000027
32,1,葛藤あり,成功あり,2.6,2.7,0.10000000000000009
33,1,葛藤あり,成功あり,2.8,2.0,-0.7999999999999998
34,1,葛藤あり,成功あり,4.0,4.3,0.2999999999999998
35,1,葛藤あり,成功あり,2.2,2.4,0.19999999999999973
36,1,葛藤あり,成功あり,3.1,2.9,-0.20000000000000018
37,1,葛藤あり,成功あり,3.5,3.8,0.2999999999999998
38,1,葛藤あり,成功あり,3.1,3.0,-0.10000000000000009
39,1,葛藤あり,成功あり,2.3,2.3,0.0
40,1,葛藤あり,成功あり,3.8,3.9,0.10000000000000009
41,1,葛藤あり,成功あり,2.4,2.9,0.5
42,1,葛藤あり,成功あり,3.0,3.2,0.20000000000000018
43,1,葛藤あり,成功あり,2.5,2.7,0.20000000000000018
44,1,葛藤あり,成功あり,3.0,3.0,0.0
45,1,葛藤あり,成功あり,3.6,4.4,0.8000000000000003
46,1,葛藤あり,成功あり,2.5,2.2,-0.2999999999999998
47,1,葛藤あり,成功あり,2.3,2.0,-0.2999999999999998
48,1,葛藤あり,成功あり,1.7,2.0,0.30000000000000004
49,1,葛藤あり,成功あり,3.1,3.1,0.0
50,1,葛藤あり,成功あり,3.4,2.9,-0.5
51,1,葛藤あり,成功あり,3.3,3.7,0.40000000000000036
52,1,葛藤あり,成功あり,2.5,2.4,-0.10000000000000009
53,1,葛藤あり,成功あり,2.2,3.0,0.7999999999999998
54,1,葛藤あり,成功あり,4.1,4.5,0.40000000000000036
55,1,葛藤あり,成功あり,2.8,3.2,0.40000000000000036
1,2,葛藤あり,成功なし,2.5,2.7,0.20000000000000018
2,2,葛藤あり,成功なし,3.1,2.6,-0.5
3,2,葛藤あり,成功なし,3.1,3.8,0.6999999999999997
4,2,葛藤あり,成功なし,3.2,3.0,-0.20000000000000018
5,2,葛藤あり,成功なし,3.3,3.4,0.10000000000000009
6,2,葛藤あり,成功なし,4.4,4.4,0.0
7,2,葛藤あり,成功なし,2.6,2.8,0.19999999999999973
8,2,葛藤あり,成功なし,3.0,3.0,0.0
9,2,葛藤あり,成功なし,3.2,3.0,-0.20000000000000018
10,2,葛藤あり,成功なし,3.7,3.1,-0.6000000000000001
11,2,葛藤あり,成功なし,3.0,3.0,0.0
12,2,葛藤あり,成功なし,3.7,3.6,-0.10000000000000009
13,2,葛藤あり,成功なし,3.2,3.2,0.0
14,2,葛藤あり,成功なし,2.1,2.4,0.2999999999999998
15,2,葛藤あり,成功なし,4.7,4.8,0.09999999999999964
16,2,葛藤あり,成功なし,3.3,4.1,0.7999999999999998
17,2,葛藤あり,成功なし,2.0,1.6,-0.3999999999999999
18,2,葛藤あり,成功なし,3.4,2.9,-0.5
19,2,葛藤あり,成功なし,3.1,3.9,0.7999999999999998
20,2,葛藤あり,成功なし,3.0,3.4,0.3999999999999999
21,2,葛藤あり,成功なし,3.0,3.0,0.0
22,2,葛藤あり,成功なし,3.0,3.0,0.0
23,2,葛藤あり,成功なし,1.7,2.2,0.5000000000000002
24,2,葛藤あり,成功なし,3.1,2.4,-0.7000000000000002
25,2,葛藤あり,成功なし,2.3,2.2,-0.09999999999999964
26,2,葛藤あり,成功なし,2.6,2.7,0.10000000000000009
27,2,葛藤あり,成功なし,3.6,3.6,0.0
28,2,葛藤あり,成功なし,3.0,2.9,-0.10000000000000009
29,2,葛藤あり,成功なし,3.9,3.8,-0.10000000000000009
30,2,葛藤あり,成功なし,3.4,4.0,0.6000000000000001
31,2,葛藤あり,成功なし,3.1,2.9,-0.20000000000000018
32,2,葛藤あり,成功なし,2.6,3.0,0.3999999999999999
33,2,葛藤あり,成功なし,2.8,2.8,0.0
34,2,葛藤あり,成功なし,4.0,4.3,0.2999999999999998
35,2,葛藤あり,成功なし,2.2,2.4,0.19999999999999973
36,2,葛藤あり,成功なし,3.1,3.0,-0.10000000000000009
37,2,葛藤あり,成功なし,3.5,3.8,0.2999999999999998
38,2,葛藤あり,成功なし,3.1,3.1,0.0
39,2,葛藤あり,成功なし,2.3,2.8,0.5
40,2,葛藤あり,成功なし,3.8,3.6,-0.19999999999999973
41,2,葛藤あり,成功なし,2.4,3.0,0.6000000000000001
42,2,葛藤あり,成功なし,3.0,3.2,0.20000000000000018
43,2,葛藤あり,成功なし,2.5,2.6,0.10000000000000009
44,2,葛藤あり,成功なし,3.0,3.0,0.0
45,2,葛藤あり,成功なし,3.6,3.3,-0.30000000000000027
46,2,葛藤あり,成功なし,2.5,2.3,-0.20000000000000018
47,2,葛藤あり,成功なし,2.3,2.4,0.10000000000000009
48,2,葛藤あり,成功なし,1.7,2.5,0.8
49,2,葛藤あり,成功なし,3.1,2.9,-0.20000000000000018
50,2,葛藤あり,成功なし,3.4,3.2,-0.19999999999999973
51,2,葛藤あり,成功なし,3.3,3.4,0.10000000000000009
52,2,葛藤あり,成功なし,2.5,2.3,-0.20000000000000018
53,2,葛藤あり,成功なし,2.2,3.1,0.8999999999999999
54,2,葛藤あり,成功なし,4.1,4.0,-0.09999999999999964
55,2,葛藤あり,成功なし,2.8,3.0,0.20000000000000018
1,3,葛藤なし,成功あり,2.5,2.4,-0.10000000000000009
2,3,葛藤なし,成功あり,3.1,2.9,-0.20000000000000018
3,3,葛藤なし,成功あり,3.1,3.7,0.6000000000000001
4,3,葛藤なし,成功あり,3.2,3.4,0.19999999999999973
5,3,葛藤なし,成功あり,3.3,3.2,-0.09999999999999964
6,3,葛藤なし,成功あり,4.4,4.7,0.2999999999999998
7,3,葛藤なし,成功あり,2.6,2.8,0.19999999999999973
8,3,葛藤なし,成功あり,3.0,3.0,0.0
9,3,葛藤なし,成功あり,3.2,2.9,-0.30000000000000027
10,3,葛藤なし,成功あり,3.7,3.3,-0.40000000000000036
11,3,葛藤なし,成功あり,3.0,3.1,0.10000000000000009
12,3,葛藤なし,成功あり,3.7,3.5,-0.20000000000000018
13,3,葛藤なし,成功あり,3.2,2.9,-0.30000000000000027
14,3,葛藤なし,成功あり,2.1,2.5,0.3999999999999999
15,3,葛藤なし,成功あり,4.7,4.8,0.09999999999999964
16,3,葛藤なし,成功あり,3.3,3.9,0.6000000000000001
17,3,葛藤なし,成功あり,2.0,2.6,0.6000000000000001
18,3,葛藤なし,成功あり,3.4,3.0,-0.3999999999999999
19,3,葛藤なし,成功あり,3.1,3.7,0.6000000000000001
20,3,葛藤なし,成功あり,3.0,3.6,0.6000000000000001
21,3,葛藤なし,成功あり,3.0,2.9,-0.10000000000000009
22,3,葛藤なし,成功あり,3.0,3.0,0.0
23,3,葛藤なし,成功あり,1.7,2.2,0.5000000000000002
24,3,葛藤なし,成功あり,3.1,3.2,0.10000000000000009
25,3,葛藤なし,成功あり,2.3,2.8,0.5
26,3,葛藤なし,成功あり,2.6,2.7,0.10000000000000009
27,3,葛藤なし,成功あり,3.6,3.5,-0.10000000000000009
28,3,葛藤なし,成功あり,3.0,2.8,-0.20000000000000018
29,3,葛藤なし,成功あり,3.9,3.7,-0.19999999999999973
30,3,葛藤なし,成功あり,3.4,4.4,1.0000000000000004
31,3,葛藤なし,成功あり,3.1,3.1,0.0
32,3,葛藤なし,成功あり,2.6,2.9,0.2999999999999998
33,3,葛藤なし,成功あり,2.8,3.0,0.20000000000000018
34,3,葛藤なし,成功あり,4.0,4.3,0.2999999999999998
35,3,葛藤なし,成功あり,2.2,2.4,0.19999999999999973
36,3,葛藤なし,成功あり,3.1,2.9,-0.20000000000000018
37,3,葛藤なし,成功あり,3.5,3.8,0.2999999999999998
38,3,葛藤なし,成功あり,3.1,3.1,0.0
39,3,葛藤なし,成功あり,2.3,2.8,0.5
40,3,葛藤なし,成功あり,3.8,3.5,-0.2999999999999998
41,3,葛藤なし,成功あり,2.4,3.1,0.7000000000000002
42,3,葛藤なし,成功あり,3.0,3.1,0.10000000000000009
43,3,葛藤なし,成功あり,2.5,2.5,0.0
44,3,葛藤なし,成功あり,3.0,3.0,0.0
45,3,葛藤なし,成功あり,3.6,4.2,0.6000000000000001
46,3,葛藤なし,成功あり,2.5,2.3,-0.20000000000000018
47,3,葛藤なし,成功あり,2.3,2.4,0.10000000000000009
48,3,葛藤なし,成功あり,1.7,2.2,0.5000000000000002
49,3,葛藤なし,成功あり,3.1,3.2,0.10000000000000009
50,3,葛藤なし,成功あり,3.4,3.0,-0.3999999999999999
51,3,葛藤なし,成功あり,3.3,3.7,0.40000000000000036
52,3,葛藤なし,成功あり,2.5,2.6,0.10000000000000009
53,3,葛藤なし,成功あり,2.2,3.0,0.7999999999999998
54,3,葛藤なし,成功あり,4.1,4.5,0.40000000000000036
55,3,葛藤なし,成功あり,2.8,3.2,0.40000000000000036
1,4,葛藤なし,成功なし,2.5,2.3,-0.20000000000000018
2,4,葛藤なし,成功なし,3.1,2.9,-0.20000000000000018
3,4,葛藤なし,成功なし,3.1,3.0,-0.10000000000000009
4,4,葛藤なし,成功なし,3.2,3.1,-0.10000000000000009
5,4,葛藤なし,成功なし,3.3,3.7,0.40000000000000036
6,4,葛藤なし,成功なし,4.4,4.6,0.1999999999999993
7,4,葛藤なし,成功なし,2.6,3.0,0.3999999999999999
8,4,葛藤なし,成功なし,3.0,3.2,0.20000000000000018
9,4,葛藤なし,成功なし,3.2,2.7,-0.5
10,4,葛藤なし,成功なし,3.7,3.1,-0.6000000000000001
11,4,葛藤なし,成功なし,3.0,2.8,-0.20000000000000018
12,4,葛藤なし,成功なし,3.7,3.7,0.0
13,4,葛藤なし,成功なし,3.2,2.9,-0.30000000000000027
14,4,葛藤なし,成功なし,2.1,2.5,0.3999999999999999
15,4,葛藤なし,成功なし,4.7,4.8,0.09999999999999964
