participant_id,target_name,item_no,item_text,video_no,conflict,action,score
1,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
2,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
3,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
4,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
5,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
6,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
7,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
8,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
9,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
10,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
11,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
12,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
13,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
14,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
15,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
16,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
17,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
18,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
19,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
20,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
21,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
22,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
23,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
24,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
25,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
26,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
27,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
28,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
29,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
30,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
31,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
32,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
33,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
34,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
35,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
36,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
37,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
38,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
39,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
40,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,6
41,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
42,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
43,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
44,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
45,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
46,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,1
47,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
48,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,2
49,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
50,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
51,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,5
52,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,3
53,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
54,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,7
55,項目1,1,このロボットを見て、自分も挑戦しようと思った。,1,葛藤あり,成功あり,4
1,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
2,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
3,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
4,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
5,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
6,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
7,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
8,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
9,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
10,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
11,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
12,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
13,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
14,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
15,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
16,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,6
17,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
18,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
19,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
20,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
21,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
22,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
23,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
24,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
25,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
26,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
27,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
28,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
29,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
30,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
31,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
32,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
33,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
34,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
35,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
36,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
37,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
38,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,5
39,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
40,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
41,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
42,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,1
43,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
44,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
45,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
46,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
47,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
48,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,2
49,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
50,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
51,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,6
52,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,3
53,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
54,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
55,項目1,1,このロボットを見て、自分も挑戦しようと思った。,2,葛藤あり,成功なし,4
1,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,4
2,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
3,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
4,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,3
5,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
6,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,7
7,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
8,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,2
9,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
10,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
11,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,3
12,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,5
13,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,3
14,項目1,1,このロボットを見て、自分も挑戦しようと思った。,3,葛藤なし,成功あり,2
