participant_id,video_no,conflict,action,scale_score,item5_score
1,1,葛藤あり,成功あり,4.5,5
2,1,葛藤あり,成功あり,4.5,5
3,1,葛藤あり,成功あり,4.25,6
4,1,葛藤あり,成功あり,6.5,7
5,1,葛藤あり,成功あり,4.75,5
6,1,葛藤あり,成功あり,6.75,7
7,1,葛藤あり,成功あり,2.0,2
8,1,葛藤あり,成功あり,2.25,2
9,1,葛藤あり,成功あり,5.0,5
10,1,葛藤あり,成功あり,6.75,7
11,1,葛藤あり,成功あり,3.25,5
12,1,葛藤あり,成功あり,5.5,7
13,1,葛藤あり,成功あり,2.25,3
14,1,葛藤あり,成功あり,4.75,6
15,1,葛藤あり,成功あり,4.5,5
16,1,葛藤あり,成功あり,6.5,7
17,1,葛藤あり,成功あり,3.75,3
18,1,葛藤あり,成功あり,4.0,2
19,1,葛藤あり,成功あり,2.0,6
20,1,葛藤あり,成功あり,4.0,6
21,1,葛藤あり,成功あり,5.75,5
22,1,葛藤あり,成功あり,4.0,4
23,1,葛藤あり,成功あり,4.75,5
24,1,葛藤あり,成功あり,6.0,7
25,1,葛藤あり,成功あり,5.0,5
26,1,葛藤あり,成功あり,6.0,6
27,1,葛藤あり,成功あり,6.0,7
28,1,葛藤あり,成功あり,5.5,6
29,1,葛藤あり,成功あり,5.5,5
30,1,葛藤あり,成功あり,4.75,4
31,1,葛藤あり,成功あり,4.5,4
32,1,葛藤あり,成功あり,5.0,5
33,1,葛藤あり,成功あり,6.75,7
34,1,葛藤あり,成功あり,5.0,5
35,1,葛藤あり,成功あり,7.0,7
36,1,葛藤あり,成功あり,6.0,6
37,1,葛藤あり,成功あり,6.0,6
38,1,葛藤あり,成功あり,4.75,5
39,1,葛藤あり,成功あり,6.25,5
40,1,葛藤あり,成功あり,5.25,6
41,1,葛藤あり,成功あり,4.75,7
42,1,葛藤あり,成功あり,5.0,7
43,1,葛藤あり,成功あり,5.5,6
44,1,葛藤あり,成功あり,4.0,7
45,1,葛藤あり,成功あり,5.5,6
46,1,葛藤あり,成功あり,5.5,5
47,1,葛藤あり,成功あり,7.0,7
48,1,葛藤あり,成功あり,6.0,6
49,1,葛藤あり,成功あり,3.25,2
50,1,葛藤あり,成功あり,6.0,6
51,1,葛藤あり,成功あり,4.0,5
52,1,葛藤あり,成功あり,5.5,6
53,1,葛藤あり,成功あり,5.0,5
54,1,葛藤あり,成功あり,5.75,6
55,1,葛藤あり,成功あり,4.0,5
1,2,葛藤あり,成功なし,5.0,5
2,2,葛藤あり,成功なし,4.75,5
3,2,葛藤あり,成功なし,4.75,5
4,2,葛藤あり,成功なし,6.75,1
5,2,葛藤あり,成功なし,5.0,5
6,2,葛藤あり,成功なし,6.0,7
7,2,葛藤あり,成功なし,3.25,4
8,2,葛藤あり,成功なし,2.0,2
9,2,葛藤あり,成功なし,5.0,5
10,2,葛藤あり,成功なし,6.25,7
11,2,葛藤あり,成功なし,3.75,3
12,2,葛藤あり,成功なし,5.25,7
13,2,葛藤あり,成功なし,2.5,3
14,2,葛藤あり,成功なし,6.5,6
15,2,葛藤あり,成功なし,4.75,4
16,2,葛藤あり,成功なし,6.75,7
17,2,葛藤あり,成功なし,3.75,5
18,2,葛藤あり,成功なし,3.5,4
19,2,葛藤あり,成功なし,3.0,5
20,2,葛藤あり,成功なし,5.5,6
21,2,葛藤あり,成功なし,5.75,4
22,2,葛藤あり,成功なし,4.0,4
23,2,葛藤あり,成功なし,5.0,5
24,2,葛藤あり,成功なし,6.25,7
25,2,葛藤あり,成功なし,5.0,5
26,2,葛藤あり,成功なし,7.0,7
27,2,葛藤あり,成功なし,6.5,6
28,2,葛藤あり,成功なし,5.0,6
29,2,葛藤あり,成功なし,6.75,7
30,2,葛藤あり,成功なし,5.25,3
31,2,葛藤あり,成功なし,4.25,5
32,2,葛藤あり,成功なし,4.75,7
33,2,葛藤あり,成功なし,4.75,7
34,2,葛藤あり,成功なし,5.0,5
35,2,葛藤あり,成功なし,7.0,7
36,2,葛藤あり,成功なし,3.5,1
37,2,葛藤あり,成功なし,6.0,6
38,2,葛藤あり,成功なし,4.75,4
39,2,葛藤あり,成功なし,5.0,7
40,2,葛藤あり,成功なし,6.0,5
41,2,葛藤あり,成功なし,6.25,6
42,2,葛藤あり,成功なし,6.0,5
43,2,葛藤あり,成功なし,5.75,6
44,2,葛藤あり,成功なし,4.0,4
45,2,葛藤あり,成功なし,5.5,6
46,2,葛藤あり,成功なし,6.25,6
47,2,葛藤あり,成功なし,7.0,7
48,2,葛藤あり,成功なし,7.0,6
49,2,葛藤あり,成功なし,4.25,5
50,2,葛藤あり,成功なし,6.25,7
51,2,葛藤あり,成功なし,6.25,5
52,2,葛藤あり,成功なし,6.0,6
53,2,葛藤あり,成功なし,5.0,5
54,2,葛藤あり,成功なし,6.5,7
55,2,葛藤あり,成功なし,5.0,5
1,3,葛藤なし,成功あり,4.5,4
2,3,葛藤なし,成功あり,4.5,4
3,3,葛藤なし,成功あり,4.25,6
4,3,葛藤なし,成功あり,1.75,4
5,3,葛藤なし,成功あり,5.25,5
6,3,葛藤なし,成功あり,1.5,2
7,3,葛藤なし,成功あり,2.75,2
8,3,葛藤なし,成功あり,2.5,3
9,3,葛藤なし,成功あり,2.25,2
10,3,葛藤なし,成功あり,5.5,7
11,3,葛藤なし,成功あり,3.5,3
12,3,葛藤なし,成功あり,5.25,7
13,3,葛藤なし,成功あり,3.5,5
14,3,葛藤なし,成功あり,3.0,3
15,3,葛藤なし,成功あり,1.75,4
16,3,葛藤なし,成功あり,7.0,7
17,3,葛藤なし,成功あり,2.25,2
18,3,葛藤なし,成功あり,4.0,2
19,3,葛藤なし,成功あり,1.5,3
20,3,葛藤なし,成功あり,4.75,6
21,3,葛藤なし,成功あり,6.0,6
22,3,葛藤なし,成功あり,4.0,4
23,3,葛藤なし,成功あり,5.0,5
24,3,葛藤なし,成功あり,5.5,6
25,3,葛藤なし,成功あり,3.75,4
26,3,葛藤なし,成功あり,5.0,5
27,3,葛藤なし,成功あり,2.0,2
28,3,葛藤なし,成功あり,4.75,6
29,3,葛藤なし,成功あり,3.5,4
