section,timing,video_no,scale,n_items,n_valid,cronbach_alpha,item_columns,item_numbers,reverse_scored_columns
事前調査,事前,,CZO尺度,10,55,0.805,"J, K, L, M, N, O, P, Q, R, S","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","L, N, P, Q, S"
事前調査,事前,,勇気尺度,6,55,0.921,"C, D, E, F, G, H","1, 2, 3, 4, 5, 6",
動画1後アンケート,事後,1,CZO尺度,10,55,0.831,"AC, AD, AE, AF, AG, AH, AI, AJ, AK, AL","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","AE, AG, AI, AJ, AL"
動画1後アンケート,事後,1,主観の勇気評定,3,55,0.879,"T, U, V","1, 2, 3",
動画1後アンケート,事後,1,勇気尺度,6,55,0.948,"W, X, Y, Z, AA, AB","1, 2, 3, 4, 5, 6",
動画1後アンケート,事後,1,葛藤尺度,4,55,0.879,"AM, AN, AO, AP","1, 2, 3, 4",
動画2後アンケート,事後,2,CZO尺度,10,55,0.787,"BA, BB, BC, BD, BE, BF, BG, BH, BI, BJ","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","BC, BE, BG, BH, BJ"
動画2後アンケート,事後,2,主観の勇気評定,3,55,0.941,"AR, AS, AT","1, 2, 3",
動画2後アンケート,事後,2,勇気尺度,6,55,0.955,"AU, AV, AW, AX, AY, AZ","1, 2, 3, 4, 5, 6",
動画2後アンケート,事後,2,葛藤尺度,4,55,0.894,"BK, BL, BM, BN","1, 2, 3, 4",
動画3後アンケート,事後,3,CZO尺度,10,55,0.790,"BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","CA, CC, CE, CF, CH"
動画3後アンケート,事後,3,主観の勇気評定,3,55,0.941,"BP, BQ, BR","1, 2, 3",
動画3後アンケート,事後,3,勇気尺度,6,55,0.963,"BS, BT, BU, BV, BW, BX","1, 2, 3, 4, 5, 6",
動画3後アンケート,事後,3,葛藤尺度,4,55,0.914,"CI, CJ, CK, CL","1, 2, 3, 4",
動画4後アンケート,事後,4,CZO尺度,10,55,0.763,"CW, CX, CY, CZ, DA, DB, DC, DD, DE, DF","1, 2, 3, 4, 5, 6, 7, 8, 9, 10","CY, DA, DC, DD, DF"
動画4後アンケート,事後,4,主観の勇気評定,3,55,0.923,"CN, CO, CP","1, 2, 3",
動画4後アンケート,事後,4,勇気尺度,6,55,0.965,"CQ, CR, CS, CT, CU, CV","1, 2, 3, 4, 5, 6",
動画4後アンケート,事後,4,葛藤尺度,4,55,0.835,"DG, DH, DI, DJ","1, 2, 3, 4",
